,_id,metadata.location,metadata.language,answers.nationality,answers.age,answers.sex,answers.hearing_impairments,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.musical_expertise,answers.concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,answers.dob,answers.musical_background,answers.visual_impairments,control_inspired,control_wonder,control_spirituality,control_thrills,control_chills,control_tenderness,control_nostalgia,control_goosebumps,control_overwhelmed,control_shivers,song_inspired,song_wonder,song_spirituality,song_thrills,song_chills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,control_chillsshiversthrills,song_chillsshiversthrills,control_transcendence,control_sadness,control_joyfulactivation,control_peacefulness,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song,answers.musicpref.pop,answers.musicpref.classical,answers.musicpref.traditional_irish,answers.musicpref.rock,answers.musicpref.jazz,answers.musicpref.folk,answers.musicpref.world,answers.musicpref.none,answers.musicpref.hiphop,answers.musicpref.dance,answers.musicpref.hip_hop
570eb79383a73509d0e04174,570eb79383a73509d0e04174,taipei_city,en,taiwanese,13.0,male,False,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1,4.0,True,3.0,5,3,4,4,4,-1,5.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,1,0,0,0,0,0,0
570eb7aa83a73509d0e048b3,570eb7aa83a73509d0e048b3,taipei_city,en,taiwanese,15.0,female,False,3.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,3,3.0,True,3.0,3,4,3,3,3,-1,4.0,4.0,3.0,4.0,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb78583a73509d0e03d0a,570eb78583a73509d0e03d0a,taipei_city,en,taiwanese,15.0,male,False,2.0,2.0,4.0,1.0,5.0,4.0,4.0,2.0,1.0,3.0,1,5.0,True,3.0,4,4,5,2,4,-1,4.0,2.0,1.0,4.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,1,0,0,0,0,0,0,0,0,0
570eb7b083a73509d0e04a5e,570eb7b083a73509d0e04a5e,taipei_city,en,taiwanese,14.0,female,False,4.0,5.0,3.0,3.0,2.0,4.0,5.0,4.0,2.0,3.0,3,3.0,True,1.0,3,3,2,2,1,-1,4.0,4.0,4.0,5.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb75183a73509d0e02c2c,570eb75183a73509d0e02c2c,taipei_city,en,taiwanese,26.0,male,False,2.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,1,5.0,True,5.0,5,5,5,5,5,-1,2.0,1.0,1.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,1,0,0,0,0,0,0,0,1,0
570eb77e83a73509d0e03b3f,570eb77e83a73509d0e03b3f,taipei_city,en,taiwanese,22.0,female,False,2.0,1.0,5.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,3,3.0,True,3.0,2,3,2,2,3,-1,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,1,0,0,0,0,0,1,0
570eb77583a73509d0e03860,570eb77583a73509d0e03860,taipei_city,en,taiwanese,6.0,female,False,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,4.0,5.0,1,5.0,True,5.0,5,5,5,5,4,-1,5.0,5.0,4.0,5.0,5.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb7c083a73509d0e04f76,570eb7c083a73509d0e04f76,taipei_city,en,taiwanese,7.0,female,False,2.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,1,5.0,True,3.0,1,5,3,4,2,-1,1.0,1.0,5.0,5.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb75e83a73509d0e030c3,570eb75e83a73509d0e030c3,taipei_city,en,taiwanese,8.0,male,False,4.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,1.0,1,4.0,True,4.0,4,3,3,3,2,-1,2.0,5.0,4.0,5.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb7a883a73509d0e047f9,570eb7a883a73509d0e047f9,taipei_city,en,taiwanese,19.0,female,True,2.0,1.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,1,4.0,True,4.0,2,4,4,4,3,-1,2.0,1.0,3.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,1,0,0,0,0,0,0
570eb74b83a73509d0e02a46,570eb74b83a73509d0e02a46,taipei_city,en,taiwanese,13.0,female,False,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,3,5.0,True,1.0,5,5,1,5,3,-1,5.0,5.0,5.0,1.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb77683a73509d0e03879,570eb77683a73509d0e03879,taipei_city,en,taiwanese,8.0,male,False,5.0,4.0,4.0,2.0,3.0,4.0,1.0,5.0,4.0,4.0,1,1.0,True,3.0,1,3,3,2,1,-1,3.0,5.0,5.0,5.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb75183a73509d0e02c04,570eb75183a73509d0e02c04,taipei_city,zh_TW,taiwanese,36.0,female,False,4.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,1,3.0,True,3.0,3,4,1,3,2,-1,3.0,1.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,1,0,0,0,0,0,0,0,0,0
570eb75383a73509d0e02cf2,570eb75383a73509d0e02cf2,taipei_city,zh_TW,taiwanese,41.0,male,False,4.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,1,2.0,True,2.0,5,4,3,5,4,-1,3.0,3.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb75a83a73509d0e02f1b,570eb75a83a73509d0e02f1b,taipei_city,zh_TW,taiwanese,11.0,male,False,4.0,1.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,3,5.0,True,3.0,5,5,5,1,5,-1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb7a783a73509d0e047ae,570eb7a783a73509d0e047ae,taichung_city,en,taiwanese,40.0,male,False,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,1,3.0,True,5.0,2,3,3,2,3,-1,3.0,3.0,3.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb7bd83a73509d0e04e5f,570eb7bd83a73509d0e04e5f,taichung_city,en,malaysian,38.0,male,False,3.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0,3,4.0,True,4.0,5,4,4,4,4,-1,2.0,2.0,2.0,4.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,1,0
570eb7bc83a73509d0e04e0c,570eb7bc83a73509d0e04e0c,taichung_city,zh_TW,taiwanese,26.0,female,False,4.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,3,5.0,True,3.0,2,3,3,3,3,-1,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb77b83a73509d0e03a45,570eb77b83a73509d0e03a45,taichung_city,en,taiwanese,12.0,male,False,3.0,1.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,3,5.0,True,2.0,3,5,3,2,3,-1,4.0,4.0,5.0,5.0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,1,0,0,0,0,0,0,0
570eb76883a73509d0e033fb,570eb76883a73509d0e033fb,taichung_city,en,taiwanese,19.0,female,False,5.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,2,2.0,True,4.0,3,4,4,3,3,-1,4.0,5.0,5.0,5.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb76a83a73509d0e034b5,570eb76a83a73509d0e034b5,taichung_city,en,taiwanese,32.0,female,False,4.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,1,2.0,True,3.0,2,3,3,3,3,-1,3.0,4.0,2.0,4.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,1,0,0
570eb73f83a73509d0e0260e,570eb73f83a73509d0e0260e,taichung_city,zh_TW,taiwanese,25.0,male,False,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,2,5.0,True,3.0,4,4,3,3,4,-1,2.0,4.0,2.0,4.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb72c83a73509d0e0200c,570eb72c83a73509d0e0200c,taichung_city,en,taiwanese,18.0,female,False,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,1,2.0,True,3.0,3,3,3,2,2,-1,1.0,1.0,2.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb78083a73509d0e03beb,570eb78083a73509d0e03beb,taichung_city,zh_TW,american,18.0,male,False,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,5.0,5,5.0,True,5.0,5,5,5,5,5,-1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,1,0,0,0,0,0,0,0
570eb79383a73509d0e04187,570eb79383a73509d0e04187,taichung_city,en,taiwanese,20.0,female,False,2.0,3.0,3.0,4.0,2.0,5.0,2.0,5.0,4.0,2.0,4,3.0,True,1.0,3,5,1,2,3,-1,5.0,5.0,4.0,5.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,1,0,0,0,1,1,0,0,0,0
570eb77483a73509d0e0382b,570eb77483a73509d0e0382b,taichung_city,zh_TW,taiwanese,15.0,male,False,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3,4.0,True,4.0,3,4,4,3,4,-1,4.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,1,0,0
570eb75983a73509d0e02efc,570eb75983a73509d0e02efc,taichung_city,zh_TW,chinese,14.0,male,False,3.0,4.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,2,5.0,True,5.0,5,5,4,3,3,-1,5.0,5.0,5.0,5.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb76683a73509d0e0331b,570eb76683a73509d0e0331b,taichung_city,en,taiwanese,16.0,female,False,1.0,1.0,5.0,2.0,2.0,4.0,1.0,4.0,4.0,4.0,2,3.0,True,2.0,3,3,3,2,3,-1,2.0,1.0,1.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,1,0,0,0,0,0
570eb77883a73509d0e03911,570eb77883a73509d0e03911,taichung_city,en,taiwanese,18.0,male,False,4.0,3.0,4.0,2.0,5.0,5.0,4.0,2.0,2.0,2.0,4,5.0,True,4.0,4,5,4,3,4,-1,5.0,5.0,5.0,5.0,5.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,1,0,0,0,0,0,0,0
570eb76f83a73509d0e03652,570eb76f83a73509d0e03652,taichung_city,en,taiwanese,15.0,male,False,5.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,3,4.0,True,4.0,4,5,4,3,4,-1,5.0,4.0,4.0,5.0,5.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,1,0,0,0,0,0,0,0
5410f6d008ad6ee3090e399d,5410f6d008ad6ee3090e399d,dublin,,irish,24.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,2.0,2.0,1.0,2.0,3.0,1987-01-01,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,raining_blood,1,1,0,1,1,0,1,0,0,1,0
5410f6d108ad6ee3090e39b0,5410f6d108ad6ee3090e39b0,dublin,,irish,17.0,male,False,,,,,,,,,,,,,True,,,,,,,,,4.0,4.0,3.0,2.0,4.0,2.0,1994-01-01,,,,,,,,,,,,,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410f7fd08ad6ee3090e3e5c,5410f7fd08ad6ee3090e3e5c,dublin,,irish,15.0,female,False,,,,,,,,,,,,,True,,,,,,,,,5.0,1.0,2.0,1.0,4.0,3.0,1996-01-01,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410f88208ad6ee3090e407a,5410f88208ad6ee3090e407a,dublin,,irish,34.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,3.0,2.0,2.0,2.0,3.0,1977-01-01,,,,,,,,,,,,,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,raining_blood,1,0,0,1,1,0,0,0,0,1,0
5410f9d008ad6ee3090e44a5,5410f9d008ad6ee3090e44a5,dublin,,irish,19.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,1992-01-01,,,,,,,,,,,,,4.0,4.0,3.0,5.0,1.0,3.0,3.0,1.0,2.0,1.0,,,,,,,,,,,raining_blood,1,0,0,1,0,0,0,0,0,1,1
5410fa6408ad6ee3090e46e0,5410fa6408ad6ee3090e46e0,dublin,,irish,23.0,female,False,,,,,,,,,,,,,True,,,,,,,,,3.0,2.0,4.0,2.0,3.0,5.0,1988-01-01,,,,,,,,,,,,,4.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,raining_blood,1,0,0,1,0,0,0,0,0,0,1
5410fa6408ad6ee3090e46ea,5410fa6408ad6ee3090e46ea,dublin,,irish,12.0,male,False,,,,,,,,,,,,,True,,,,,,,,,5.0,1.0,1.0,1.0,2.0,5.0,1999-01-01,,,,,,,,,,,,,4.0,4.0,4.0,1.0,2.0,5.0,4.0,1.0,5.0,1.0,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,0,1
5410fb2f08ad6ee3090e49d7,5410fb2f08ad6ee3090e49d7,dublin,,other,28.0,female,False,,,,,,,,,,,,,True,,,,,,,,,5.0,1.0,4.0,2.0,4.0,1.0,1983-01-01,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,,raining_blood,1,0,0,0,0,0,1,0,0,1,0
5410fc6508ad6ee3090e4e98,5410fc6508ad6ee3090e4e98,dublin,,irish,22.0,female,False,,,,,,,,,,,,,True,,,,,,,,,4.0,2.0,1.0,1.0,4.0,1.0,1989-01-01,,,,,,,,,,,,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,,raining_blood,1,1,0,1,0,0,0,0,0,0,1
5410fd1808ad6ee3090e5150,5410fd1808ad6ee3090e5150,dublin,,other,32.0,male,True,,,,,,,,,,,,,True,,,,,,,,,3.0,2.0,3.0,2.0,2.0,1.0,1979-01-01,,,,,,,,,,,,,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,,,,,,,,,,,raining_blood,1,1,0,1,0,0,0,0,0,0,1
541102ae08ad6ee3090e6643,541102ae08ad6ee3090e6643,dublin,,irish,21.0,female,False,,,,,,,,,,,,,True,,,,,,,,,3.0,4.0,2.0,4.0,2.0,3.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,raining_blood,0,1,0,0,0,0,0,0,0,0,0
541102ae08ad6ee3090e6647,541102ae08ad6ee3090e6647,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,4.0,2.0,3.0,2.0,1.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,raining_blood,0,0,0,1,0,0,0,0,0,0,1
541102af08ad6ee3090e665e,541102af08ad6ee3090e665e,dublin,,other,41.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,2.0,2.0,2.0,3.0,1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,raining_blood,1,0,0,1,0,0,0,0,0,1,0
541102b008ad6ee3090e6668,541102b008ad6ee3090e6668,dublin,,irish,21.0,female,False,,,,,,,,,,,,,True,,,,,,,,,4.0,1.0,2.0,2.0,4.0,2.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5411035f08ad6ee3090e68c3,5411035f08ad6ee3090e68c3,dublin,,irish,31.0,male,False,,,,,,,,,,,,,True,,,,,,,,,5.0,1.0,4.0,1.0,4.0,4.0,1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,raining_blood,1,0,0,1,0,0,0,0,0,0,0
5411036108ad6ee3090e68e2,5411036108ad6ee3090e68e2,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,4.0,4.0,2.0,2.0,3.0,1.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,raining_blood,1,0,0,1,0,0,0,0,0,0,1
5411041208ad6ee3090e6b74,5411041208ad6ee3090e6b74,dublin,,irish,51.0,female,False,,,,,,,,,,,,,True,,,,,,,,,5.0,2.0,5.0,3.0,4.0,1.0,1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,raining_blood,0,1,0,0,1,0,1,0,0,0,0
5411051708ad6ee3090e6f0e,5411051708ad6ee3090e6f0e,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,4.0,3.0,2.0,2.0,3.0,2.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5411051908ad6ee3090e6f37,5411051908ad6ee3090e6f37,dublin,,other,21.0,female,False,,,,,,,,,,,,,True,,,,,,,,,2.0,5.0,1.0,3.0,1.0,3.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,raining_blood,0,0,0,1,0,0,0,0,0,0,0
5411059a08ad6ee3090e7102,5411059a08ad6ee3090e7102,dublin,,other,31.0,female,False,,,,,,,,,,,,,True,,,,,,,,,2.0,3.0,2.0,1.0,2.0,3.0,1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,raining_blood,1,0,0,1,0,0,0,0,0,0,0
5411061e08ad6ee3090e72f4,5411061e08ad6ee3090e72f4,dublin,,irish,61.0,female,False,,,,,,,,,,,,,True,,,,,,,,,5.0,1.0,1.0,3.0,4.0,1.0,1950-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,raining_blood,1,0,0,1,0,0,0,0,0,0,0
5411061f08ad6ee3090e72fd,5411061f08ad6ee3090e72fd,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,4.0,4.0,4.0,2.0,3.0,2.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,raining_blood,1,0,0,1,0,0,0,0,0,0,0
5411062008ad6ee3090e7310,5411062008ad6ee3090e7310,dublin,,other,21.0,female,False,,,,,,,,,,,,,True,,,,,,,,,2.0,4.0,2.0,3.0,2.0,4.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,raining_blood,1,1,0,1,0,0,0,0,0,1,0
5411077008ad6ee3090e77a8,5411077008ad6ee3090e77a8,dublin,,other,41.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,1.0,2.0,1.0,5.0,1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,raining_blood,1,0,0,1,0,0,1,0,0,1,0
5410f69308ad6ee3090e387e,5410f69308ad6ee3090e387e,dublin,,irish,31.0,female,False,,,,,,,,,,,,,True,,,,,,,,,4.0,2.0,4.0,3.0,4.0,2.0,1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,raining_blood,0,1,0,0,1,0,0,0,0,0,1
