,_id,metadata.location,answers.sex,answers.dob,answers.musical_background,answers.nationality,answers.visual_impairments,answers.musical_expertise,answers.hearing_impairments,answers.age,critical_reaction,control_activity,control_engagement,control_familiarity,control_chills,control_positivity,control_power,control_like_dislike,song_activity,song_engagement,song_familiarity,song_chills,song_positivity,song_power,song_like_dislike,control_chillsshiversthrills,control_tension,song_chillsshiversthrills,song_tension,control_inspired,control_wonder,control_spirituality,control_thrills,control_tenderness,control_nostalgia,control_goosebumps,control_overwhelmed,control_shivers,song_inspired,song_wonder,song_spirituality,song_thrills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,control_transcendence,control_sadness,control_joyfulactivation,control_peacefulness,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,metadata.language,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.concentration,song,answers.musicpref.pop,answers.musicpref.hiphop,answers.musicpref.jazz,answers.musicpref.traditional_irish,answers.musicpref.folk,answers.musicpref.none,answers.musicpref.classical,answers.musicpref.dance,answers.musicpref.world,answers.musicpref.rock,answers.musicpref.hip_hop
5410ee6108ad6ee3090e232c,5410ee6108ad6ee3090e232c,bergen,female,1956-01-01,False,norwegian,True,3,False,57.0,False,,,,,,,,4.0,4.0,3.0,3.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,1,0,0,0,0,1,0
5410ee6508ad6ee3090e233a,5410ee6508ad6ee3090e233a,bergen,female,1954-01-01,False,norwegian,False,3,False,59.0,True,,,,,,,,4.0,4.0,3.0,2.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,1,0,0,0,0
5410ee8c08ad6ee3090e23ca,5410ee8c08ad6ee3090e23ca,bergen,male,1998-01-01,True,norwegian,True,3,True,15.0,False,,,,,,,,4.0,4.0,5.0,4.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,1,0
5410ee9508ad6ee3090e23ea,5410ee9508ad6ee3090e23ea,bergen,female,1978-01-01,False,norwegian,False,2,False,35.0,False,,,,,,,,4.0,5.0,3.0,3.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410eea008ad6ee3090e2412,5410eea008ad6ee3090e2412,bergen,male,1981-01-01,False,norwegian,True,3,False,32.0,True,,,,,,,,2.0,2.0,2.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,1,0,0,0,1,0,0,1,0
5410eea408ad6ee3090e241f,5410eea408ad6ee3090e241f,bergen,female,1998-01-01,False,norwegian,False,2,False,15.0,False,,,,,,,,3.0,3.0,2.0,2.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410eeb508ad6ee3090e245c,5410eeb508ad6ee3090e245c,bergen,female,1969-01-01,True,norwegian,False,4,False,44.0,True,,,,,,,,3.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,1,0,0,0,1,0,1,0,0
5410eecc08ad6ee3090e24a8,5410eecc08ad6ee3090e24a8,bergen,male,1986-01-01,False,norwegian,False,2,False,27.0,False,,,,,,,,4.0,5.0,1.0,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,1,0
5410eecd08ad6ee3090e24b8,5410eecd08ad6ee3090e24b8,bergen,male,1974-01-01,False,norwegian,False,3,False,39.0,False,,,,,,,,4.0,4.0,3.0,1.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,1,0
5410eed508ad6ee3090e24d9,5410eed508ad6ee3090e24d9,bergen,female,2009-01-01,False,norwegian,False,1,False,4.0,True,,,,,,,,5.0,5.0,1.0,1.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,1,0
5410eedc08ad6ee3090e24f3,5410eedc08ad6ee3090e24f3,bergen,male,2001-01-01,False,norwegian,False,3,False,12.0,False,,,,,,,,2.0,2.0,1.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,1,0
5410eee108ad6ee3090e250a,5410eee108ad6ee3090e250a,bergen,female,1999-01-01,False,norwegian,True,3,False,14.0,False,,,,,,,,2.0,1.0,2.0,1.0,2.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,0,1
5410ef0c08ad6ee3090e25a0,5410ef0c08ad6ee3090e25a0,bergen,female,1983-01-01,False,norwegian,False,2,False,30.0,False,,,,,,,,2.0,3.0,1.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,1,0
5410ef2f08ad6ee3090e261d,5410ef2f08ad6ee3090e261d,bergen,female,1987-01-01,False,norwegian,False,3,False,26.0,True,,,,,,,,3.0,4.0,1.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,1,1
5410ef2f08ad6ee3090e2628,5410ef2f08ad6ee3090e2628,bergen,female,2001-01-01,False,norwegian,False,2,False,12.0,False,,,,,,,,2.0,2.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,1
5410ef3008ad6ee3090e262a,5410ef3008ad6ee3090e262a,bergen,female,1999-01-01,True,norwegian,False,3,False,14.0,True,,,,,,,,2.0,2.0,2.0,3.0,3.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,1,0,0,0,0,0
5410ef3c08ad6ee3090e2652,5410ef3c08ad6ee3090e2652,bergen,male,2003-01-01,False,norwegian,False,3,False,10.0,False,,,,,,,,5.0,5.0,1.0,3.0,5.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,0,1
5410ef5908ad6ee3090e26c3,5410ef5908ad6ee3090e26c3,bergen,male,1951-01-01,False,other,False,3,False,62.0,False,,,,,,,,4.0,5.0,1.0,4.0,5.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,1,0
5410ef7108ad6ee3090e270f,5410ef7108ad6ee3090e270f,bergen,male,2009-01-01,False,norwegian,False,3,False,4.0,True,,,,,,,,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,1,1
5410ef9308ad6ee3090e2783,5410ef9308ad6ee3090e2783,bergen,male,1979-01-01,True,norwegian,False,3,False,34.0,False,,,,,,,,4.0,5.0,5.0,3.0,5.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,1,0
5410ef9308ad6ee3090e2785,5410ef9308ad6ee3090e2785,bergen,male,1999-01-01,False,norwegian,False,1,False,14.0,False,,,,,,,,4.0,4.0,3.0,2.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410ef9e08ad6ee3090e27b1,5410ef9e08ad6ee3090e27b1,bergen,female,1989-01-01,False,other,True,2,False,24.0,False,,,,,,,,2.0,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410efb708ad6ee3090e280c,5410efb708ad6ee3090e280c,bergen,male,1998-01-01,False,norwegian,False,4,False,15.0,False,,,,,,,,2.0,2.0,3.0,2.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,1,1,1
5410efc908ad6ee3090e284e,5410efc908ad6ee3090e284e,bergen,female,1983-01-01,False,other,False,3,False,30.0,False,,,,,,,,3.0,3.0,3.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,1,0
5410efe108ad6ee3090e28a2,5410efe108ad6ee3090e28a2,bergen,male,2000-01-01,False,norwegian,False,2,False,13.0,False,,,,,,,,4.0,5.0,3.0,2.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410efe108ad6ee3090e28aa,5410efe108ad6ee3090e28aa,bergen,male,1975-01-01,True,norwegian,False,4,False,38.0,False,,,,,,,,3.0,4.0,3.0,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,1,0,0,1,0
5410eff908ad6ee3090e28fe,5410eff908ad6ee3090e28fe,bergen,male,1999-01-01,True,norwegian,True,4,False,14.0,True,,,,,,,,5.0,5.0,2.0,4.0,3.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,1,0,1,0,1,0,0,0,1
5410f00908ad6ee3090e293a,5410f00908ad6ee3090e293a,bergen,female,1999-01-01,False,norwegian,False,4,False,14.0,False,,,,,,,,5.0,4.0,2.0,1.0,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,1,0,0,1
5410f00a08ad6ee3090e293d,5410f00a08ad6ee3090e293d,bergen,male,1999-01-01,True,norwegian,False,5,False,14.0,True,,,,,,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,1,0,0
5410f00a08ad6ee3090e2944,5410f00a08ad6ee3090e2944,bergen,male,1999-01-01,False,norwegian,False,3,False,14.0,True,,,,,,,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410f01908ad6ee3090e2974,5410f01908ad6ee3090e2974,bergen,female,1973-01-01,False,other,False,3,False,40.0,False,,,,,,,,4.0,4.0,1.0,2.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,1,0,0,1,0
5410f01908ad6ee3090e2977,5410f01908ad6ee3090e2977,bergen,male,2000-01-01,True,norwegian,False,3,False,13.0,False,,,,,,,,3.0,3.0,1.0,1.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410f01908ad6ee3090e297b,5410f01908ad6ee3090e297b,bergen,male,1982-01-01,False,norwegian,False,2,False,31.0,False,,,,,,,,4.0,4.0,2.0,1.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410f01908ad6ee3090e297c,5410f01908ad6ee3090e297c,bergen,female,2001-01-01,False,norwegian,False,4,False,12.0,False,,,,,,,,3.0,4.0,2.0,3.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,1,0,0,0,0,0
5410f02708ad6ee3090e29ad,5410f02708ad6ee3090e29ad,bergen,female,1956-01-01,False,norwegian,True,3,False,57.0,False,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,1,0,0,0,0,0,0
5410f03108ad6ee3090e29cf,5410f03108ad6ee3090e29cf,bergen,female,2009-01-01,True,norwegian,False,5,False,4.0,False,,,,,,,,5.0,4.0,1.0,5.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,0,1
5410f03a08ad6ee3090e29f7,5410f03a08ad6ee3090e29f7,bergen,male,2004-01-01,False,other,False,3,False,9.0,False,,,,,,,,4.0,5.0,5.0,1.0,4.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,1,0,1,1
5410f04008ad6ee3090e2a0a,5410f04008ad6ee3090e2a0a,bergen,female,2004-01-01,False,other,True,1,True,9.0,False,,,,,,,,5.0,3.0,2.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,1
5410f05408ad6ee3090e2a56,5410f05408ad6ee3090e2a56,bergen,female,1994-01-01,False,norwegian,True,4,False,19.0,False,,,,,,,,3.0,3.0,5.0,3.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410f06d08ad6ee3090e2aa9,5410f06d08ad6ee3090e2aa9,bergen,female,1996-01-01,False,norwegian,False,4,False,17.0,False,,,,,,,,2.0,2.0,2.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410f07308ad6ee3090e2abe,5410f07308ad6ee3090e2abe,bergen,female,1969-01-01,True,norwegian,True,4,True,44.0,True,,,,,,,,4.0,5.0,1.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,1,0,0,0,1,0,0,0,0
5410f07d08ad6ee3090e2ae1,5410f07d08ad6ee3090e2ae1,bergen,female,2000-01-01,True,norwegian,False,3,False,13.0,True,,,,,,,,2.0,3.0,1.0,2.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,1,0,0,1,1
5410f07d08ad6ee3090e2ae5,5410f07d08ad6ee3090e2ae5,bergen,female,2000-01-01,False,norwegian,True,3,True,13.0,False,,,,,,,,4.0,3.0,1.0,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,1,0,1,0
5410f08308ad6ee3090e2af4,5410f08308ad6ee3090e2af4,bergen,female,1999-01-01,False,norwegian,False,3,False,14.0,True,,,,,,,,5.0,5.0,5.0,1.0,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,1,0
5410f08908ad6ee3090e2b08,5410f08908ad6ee3090e2b08,bergen,male,1971-01-01,False,norwegian,False,4,False,42.0,False,,,,,,,,4.0,4.0,2.0,3.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,1,1,0,1,0
5410f08908ad6ee3090e2b0c,5410f08908ad6ee3090e2b0c,bergen,female,1997-01-01,True,norwegian,False,3,False,16.0,True,,,,,,,,4.0,4.0,4.0,1.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,1,0,0,0,0,1,0,0,1
5410f09008ad6ee3090e2b22,5410f09008ad6ee3090e2b22,bergen,male,1992-01-01,False,norwegian,False,3,False,21.0,False,,,,,,,,3.0,3.0,3.0,2.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,1,0,1,0,0,1,0
5410f09e08ad6ee3090e2b4d,5410f09e08ad6ee3090e2b4d,bergen,female,1989-01-01,False,norwegian,True,2,False,24.0,True,,,,,,,,3.0,4.0,3.0,1.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,1,0,0,0,0,0,0,1,0
5410f0ab08ad6ee3090e2b7e,5410f0ab08ad6ee3090e2b7e,bergen,female,1998-01-01,True,norwegian,False,3,False,15.0,True,,,,,,,,3.0,3.0,3.0,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,1,0,1,1
5410f0c608ad6ee3090e2be4,5410f0c608ad6ee3090e2be4,bergen,male,2001-01-01,True,other,False,3,False,12.0,False,,,,,,,,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410f0d608ad6ee3090e2c1a,5410f0d608ad6ee3090e2c1a,bergen,female,1980-01-01,False,norwegian,True,2,False,33.0,True,,,,,,,,4.0,4.0,2.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410f12108ad6ee3090e2cb6,5410f12108ad6ee3090e2cb6,bergen,male,1999-01-01,False,norwegian,False,2,False,14.0,True,,,,,,,,3.0,3.0,3.0,1.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,0,1
5410f12a08ad6ee3090e2cca,5410f12a08ad6ee3090e2cca,bergen,male,1997-01-01,True,norwegian,True,4,True,16.0,False,,,,,,,,4.0,5.0,5.0,3.0,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,1,0,0,0,1,1,0,1,1
5410f16108ad6ee3090e2d40,5410f16108ad6ee3090e2d40,bergen,female,1966-01-01,False,norwegian,False,3,False,47.0,False,,,,,,,,3.0,4.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410f1cc08ad6ee3090e2dfb,5410f1cc08ad6ee3090e2dfb,bergen,male,1999-01-01,True,norwegian,False,2,False,14.0,False,,,,,,,,3.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410f1da08ad6ee3090e2e13,5410f1da08ad6ee3090e2e13,bergen,female,2000-01-01,True,norwegian,False,5,False,13.0,False,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,1,0,0,0,1,1,0,0,0
5410f21b08ad6ee3090e2e95,5410f21b08ad6ee3090e2e95,bergen,female,1986-01-01,False,norwegian,False,3,False,27.0,False,,,,,,,,2.0,1.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,1,0,0
5410f23308ad6ee3090e2ec5,5410f23308ad6ee3090e2ec5,bergen,male,1995-01-01,True,norwegian,False,4,False,18.0,False,,,,,,,,4.0,4.0,1.0,4.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,1,0,1,0,1,0,0,1,0
5410f24408ad6ee3090e2ef3,5410f24408ad6ee3090e2ef3,bergen,male,1967-01-01,False,other,False,2,False,46.0,False,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,1,0,0,0,0,0,0
5410f28d08ad6ee3090e2f8d,5410f28d08ad6ee3090e2f8d,bergen,male,1966-01-01,False,other,False,3,False,47.0,True,,,,,,,,2.0,2.0,1.0,1.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,1,0,1,0,0,1,1
5410f2e908ad6ee3090e304d,5410f2e908ad6ee3090e304d,bergen,female,2001-01-01,False,norwegian,False,3,False,12.0,True,,,,,,,,3.0,2.0,3.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,1,0,0,1
5410f2fd08ad6ee3090e3078,5410f2fd08ad6ee3090e3078,bergen,male,2001-01-01,False,norwegian,False,2,False,12.0,False,,,,,,,,4.0,2.0,1.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
5410f2fd08ad6ee3090e307c,5410f2fd08ad6ee3090e307c,bergen,male,1998-01-01,False,norwegian,False,2,False,15.0,True,,,,,,,,3.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,1,1
5410f30708ad6ee3090e3097,5410f30708ad6ee3090e3097,bergen,male,2000-01-01,True,norwegian,False,3,False,13.0,False,,,,,,,,4.0,2.0,1.0,3.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,1,0,0,0,1,1,0,1,1
