,_id,metadata.location,answers.sex,answers.dob,answers.musical_background,answers.nationality,answers.visual_impairments,answers.musical_expertise,answers.hearing_impairments,answers.age,critical_reaction,control_chillsshiversthrills,control_activity,control_tension,control_familiarity,control_engagement,control_positivity,control_like_dislike,song_chillsshiversthrills,song_activity,song_tension,song_familiarity,song_engagement,song_positivity,song_like_dislike,control_transcendence,control_sadness,control_wonder,control_joyfulactivation,control_tenderness,control_peacefulness,control_nostalgia,control_power,song_transcendence,song_sadness,song_wonder,song_joyfulactivation,song_tenderness,song_peacefulness,song_nostalgia,song_power,metadata.language,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.concentration,song,answers.musicpref.world,answers.musicpref.hiphop,answers.musicpref.rock,answers.musicpref.pop,answers.musicpref.traditional_irish,answers.musicpref.dance,answers.musicpref.hip_hop,answers.musicpref.folk,answers.musicpref.none,answers.musicpref.classical,answers.musicpref.jazz
5410f8d908ad6ee3090e4117,5410f8d908ad6ee3090e4117,dublin,female,1986-01-01,False,irish,,3,False,25.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,4.0,4.0,1.0,3.0,5.0,3.0,2.0,,,,,,,,,,,,,into_dust,0,0,1,1,0,0,0,0,0,0,0
5410f8da08ad6ee3090e4126,5410f8da08ad6ee3090e4126,dublin,male,1991-01-01,False,irish,,2,False,20.0,True,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,,,,,,,,,,,,,into_dust,0,0,1,1,0,1,1,0,0,0,0
5410f8da08ad6ee3090e4134,5410f8da08ad6ee3090e4134,dublin,female,1970-01-01,False,irish,,1,False,41.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,1.0,4.0,3.0,4.0,3.0,2.0,1.0,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0,0
5410f91208ad6ee3090e41cc,5410f91208ad6ee3090e41cc,dublin,male,1990-01-01,,other,,,False,21.0,True,,,,,,,,4.0,1.0,5.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,1,0,1,1,0,0,1,0
5410f91308ad6ee3090e41ea,5410f91308ad6ee3090e41ea,dublin,male,1960-01-01,,irish,,,False,51.0,True,,,,,,,,1.0,5.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,1,0,0,0,0,0,0
5410f93408ad6ee3090e426f,5410f93408ad6ee3090e426f,dublin,female,1968-01-01,False,irish,,3,False,43.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,3.0,4.0,1.0,4.0,4.0,3.0,2.0,,,,,,,,,,,,,into_dust,0,0,1,1,1,1,0,0,0,1,1
5410f95308ad6ee3090e42c5,5410f95308ad6ee3090e42c5,dublin,male,1970-01-01,,irish,,,False,41.0,False,,,,,,,,2.0,2.0,4.0,1.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,1,0,1,1,0,0,1,1
5410f95408ad6ee3090e42d1,5410f95408ad6ee3090e42d1,dublin,male,1970-01-01,,irish,,,False,41.0,False,,,,,,,,1.0,4.0,3.0,3.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,0,1,0,0,0,0,0
5410f9f908ad6ee3090e4555,5410f9f908ad6ee3090e4555,dublin,female,1980-01-01,,irish,,,False,31.0,False,,,,,,,,3.0,4.0,4.0,1.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,1,1,0,0,0,0,1,1
5410fa8808ad6ee3090e4771,5410fa8808ad6ee3090e4771,dublin,male,1977-01-01,False,irish,,2,False,34.0,False,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,,,,,,,,,,,,,into_dust,0,0,1,1,1,1,0,0,0,0,0
5410fab008ad6ee3090e47ed,5410fab008ad6ee3090e47ed,dublin,male,1970-01-01,,irish,,,False,41.0,True,,,,,,,,1.0,4.0,3.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,0,1,1,0,0,0,0
5410fab208ad6ee3090e4807,5410fab208ad6ee3090e4807,dublin,female,1980-01-01,,irish,,,False,31.0,True,,,,,,,,1.0,4.0,5.0,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,0,1,0,0,0,0,0
5410fc0508ad6ee3090e4cf8,5410fc0508ad6ee3090e4cf8,dublin,male,2000-01-01,,irish,,,True,11.0,True,,,,,,,,1.0,1.0,3.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,1,0,0,0,0,0,1,0
5410fc0608ad6ee3090e4d07,5410fc0608ad6ee3090e4d07,dublin,male,1960-01-01,,irish,,,False,51.0,False,,,,,,,,1.0,4.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,0,1,0,0,0,0,0,1
5410fc0808ad6ee3090e4d27,5410fc0808ad6ee3090e4d27,dublin,male,2000-01-01,,irish,,,False,11.0,False,,,,,,,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,1,0,1,0,0,0,1,1
5410fc0908ad6ee3090e4d30,5410fc0908ad6ee3090e4d30,dublin,male,1940-01-01,,other,,,False,71.0,False,,,,,,,,1.0,4.0,4.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,1,0,0,0,0,0,0
5410fc0908ad6ee3090e4d38,5410fc0908ad6ee3090e4d38,dublin,female,1990-01-01,,irish,,,False,21.0,False,,,,,,,,3.0,5.0,4.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,0,0,0,0,0,0,0
5410fc0908ad6ee3090e4d3f,5410fc0908ad6ee3090e4d3f,dublin,female,1980-01-01,,other,,,False,31.0,False,,,,,,,,1.0,4.0,4.0,1.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,0,0,0,0,0,0,0
5410fcb808ad6ee3090e4fb9,5410fcb808ad6ee3090e4fb9,dublin,male,2000-01-01,,irish,,,False,11.0,True,,,,,,,,2.0,4.0,4.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,0,0,1,0,0,0,0
5410fcb908ad6ee3090e4fcb,5410fcb908ad6ee3090e4fcb,dublin,male,1980-01-01,,irish,,,False,31.0,False,,,,,,,,1.0,3.0,3.0,3.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,1,1,1,0,0,1,0
5410fcb908ad6ee3090e4fcf,5410fcb908ad6ee3090e4fcf,dublin,female,1970-01-01,,irish,,,False,41.0,False,,,,,,,,4.0,5.0,3.0,1.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,1,0,0,0,0,0,0
5410fd5d08ad6ee3090e5231,5410fd5d08ad6ee3090e5231,dublin,male,1970-01-01,,other,,,False,41.0,False,,,,,,,,1.0,5.0,5.0,4.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,0,0,0,0,0,0,1
5410fd5d08ad6ee3090e5238,5410fd5d08ad6ee3090e5238,dublin,male,1970-01-01,,irish,,,True,41.0,False,,,,,,,,2.0,5.0,4.0,4.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,0,0,0,0,0,0,1,0
5410fda408ad6ee3090e5333,5410fda408ad6ee3090e5333,dublin,female,1990-01-01,,other,,,False,21.0,False,,,,,,,,4.0,3.0,5.0,4.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0,0
5410fda508ad6ee3090e5341,5410fda508ad6ee3090e5341,dublin,female,1980-01-01,,irish,,,False,31.0,False,,,,,,,,1.0,4.0,5.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,1,0,0,1,0,0,0,0
5410fda608ad6ee3090e5350,5410fda608ad6ee3090e5350,dublin,female,1980-01-01,,other,,,False,31.0,False,,,,,,,,3.0,3.0,4.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,1,0,0,0,0,0,0,0
5410fda708ad6ee3090e5360,5410fda708ad6ee3090e5360,dublin,male,1970-01-01,,irish,,,False,41.0,True,,,,,,,,2.0,4.0,5.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,0,1,1,0,0,0,0
5410fe3b08ad6ee3090e5585,5410fe3b08ad6ee3090e5585,dublin,male,1970-01-01,,irish,,,False,41.0,False,,,,,,,,2.0,4.0,4.0,1.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,0,1,0,0,0,0,0
5410fe3c08ad6ee3090e55a0,5410fe3c08ad6ee3090e55a0,dublin,male,1950-01-01,,other,,,False,61.0,True,,,,,,,,1.0,3.0,4.0,1.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,1,0,0,0,0,0,0,0
5410fea008ad6ee3090e571b,5410fea008ad6ee3090e571b,dublin,male,1972-01-01,False,other,,1,False,39.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,3.0,3.0,1.0,4.0,3.0,4.0,2.0,,,,,,,,,,,,,into_dust,1,0,1,1,0,1,0,0,0,1,0
5410fec908ad6ee3090e579f,5410fec908ad6ee3090e579f,dublin,male,1990-01-01,,irish,,,False,21.0,True,,,,,,,,2.0,3.0,5.0,3.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,0,0,0,0,0,1,1
5410fec908ad6ee3090e57aa,5410fec908ad6ee3090e57aa,dublin,male,1970-01-01,,other,,,False,41.0,False,,,,,,,,2.0,3.0,4.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,0,0,0,0,0,0,0,0
5410ff2d08ad6ee3090e5949,5410ff2d08ad6ee3090e5949,dublin,male,1984-01-01,True,irish,,4,False,27.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,into_dust,0,0,1,0,0,0,0,0,0,0,0
5410ff2d08ad6ee3090e594c,5410ff2d08ad6ee3090e594c,dublin,female,1991-01-01,False,other,,2,False,20.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,2.0,4.0,1.0,5.0,5.0,5.0,4.0,,,,,,,,,,,,,into_dust,1,0,1,1,0,0,1,0,0,0,0
5410ffd808ad6ee3090e5b8c,5410ffd808ad6ee3090e5b8c,dublin,male,2000-01-01,True,irish,,3,False,11.0,True,,,,,,,,1.0,4.0,3.0,1.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,0,0,0,0,0,0,0
5410ffd908ad6ee3090e5b98,5410ffd908ad6ee3090e5b98,dublin,male,1954-01-01,False,irish,,1,False,57.0,False,,,,,,,,1.0,3.0,3.0,3.0,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,1,0,0,0,0,1,1
5410ffda08ad6ee3090e5bab,5410ffda08ad6ee3090e5bab,dublin,female,1986-01-01,False,other,,3,False,25.0,False,,,,,,,,1.0,4.0,4.0,1.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0,0
5411002b08ad6ee3090e5cf8,5411002b08ad6ee3090e5cf8,dublin,female,1986-01-01,False,other,,3,False,25.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,2.0,3.0,3.0,4.0,5.0,3.0,5.0,,,,,,,,,,,,,into_dust,1,0,0,0,0,0,0,0,0,0,0
5411005f08ad6ee3090e5db0,5411005f08ad6ee3090e5db0,dublin,female,1982-01-01,False,irish,,1,False,29.0,False,,,,,,,,1.0,2.0,3.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,0,1,0,0,0,0,0
5411005f08ad6ee3090e5db1,5411005f08ad6ee3090e5db1,dublin,female,1962-01-01,False,irish,,3,False,49.0,False,,,,,,,,1.0,4.0,4.0,3.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0,0
5411006008ad6ee3090e5dbc,5411006008ad6ee3090e5dbc,dublin,female,1984-01-01,True,other,,3,False,27.0,False,,,,,,,,1.0,4.0,3.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,0,0,0,0,0,0,0
5411006008ad6ee3090e5dc0,5411006008ad6ee3090e5dc0,dublin,male,1961-01-01,False,other,,1,False,50.0,False,,,,,,,,1.0,2.0,3.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,0,0,0,0,0,0,0
541100bc08ad6ee3090e5f2d,541100bc08ad6ee3090e5f2d,dublin,female,1986-01-01,False,other,,2,False,25.0,True,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,5.0,3.0,2.0,4.0,5.0,2.0,3.0,,,,,,,,,,,,,into_dust,0,0,1,1,1,1,1,0,0,0,0
541100bc08ad6ee3090e5f35,541100bc08ad6ee3090e5f35,dublin,female,1955-01-01,False,irish,,2,False,56.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,,into_dust,1,0,0,1,1,0,0,0,0,1,1
541100f808ad6ee3090e5ff6,541100f808ad6ee3090e5ff6,dublin,male,1997-01-01,False,irish,,2,False,14.0,True,,,,,,,,3.0,4.0,5.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,0,0,0,0,0,0,0
541100f908ad6ee3090e5fff,541100f908ad6ee3090e5fff,dublin,female,1997-01-01,True,irish,,3,False,14.0,False,,,,,,,,1.0,5.0,4.0,1.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,0,0,0,0,0,0,0
5411015508ad6ee3090e615e,5411015508ad6ee3090e615e,dublin,male,1994-01-01,True,other,,3,False,17.0,True,,,,,,,,1.0,4.0,4.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,0,0,0,0,0,0,0
5411015508ad6ee3090e6162,5411015508ad6ee3090e6162,dublin,female,1960-01-01,False,irish,,2,False,51.0,True,,,,,,,,1.0,4.0,3.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,0,0,0,0,0,1,1
5411015708ad6ee3090e617c,5411015708ad6ee3090e617c,dublin,male,1974-01-01,False,irish,,3,False,37.0,False,,,,,,,,2.0,3.0,4.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,1,0,1,0,0,0,0,0
541101b808ad6ee3090e62e4,541101b808ad6ee3090e62e4,dublin,female,1988-01-01,False,other,,3,False,23.0,False,,,,,,,,1.0,4.0,5.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,1,0,1,1,0,0,1,0
541101b908ad6ee3090e62f7,541101b908ad6ee3090e62f7,dublin,female,1984-01-01,False,irish,,1,False,27.0,True,,,,,,,,3.0,4.0,5.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,0,1,1,0,0,0,1
541101b908ad6ee3090e6300,541101b908ad6ee3090e6300,dublin,male,1956-01-01,True,irish,,3,False,55.0,False,,,,,,,,4.0,2.0,4.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,0,1,0,0,0,0,1,1
5411020b08ad6ee3090e6433,5411020b08ad6ee3090e6433,dublin,female,1988-01-01,True,irish,,3,False,23.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,0,0,0,0,0,0,0
5411020c08ad6ee3090e6446,5411020c08ad6ee3090e6446,dublin,female,1987-01-01,True,irish,,3,False,24.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,0,1,0,0,0,0,0
5411022e08ad6ee3090e64bb,5411022e08ad6ee3090e64bb,dublin,male,1984-01-01,False,other,,3,False,27.0,False,,,,,,,,2.0,4.0,4.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,1,0,0,1,0,0,0,1
5411024b08ad6ee3090e652c,5411024b08ad6ee3090e652c,dublin,male,1987-01-01,True,irish,,3,False,24.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,0,0,1,0,0,1,0
541102ae08ad6ee3090e6643,541102ae08ad6ee3090e6643,dublin,female,1990-01-01,,irish,,,False,21.0,True,,,,,,,,1.0,4.0,4.0,3.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,0,0,0,0,0,1,0
541102af08ad6ee3090e665f,541102af08ad6ee3090e665f,dublin,male,1990-01-01,,irish,,,False,21.0,False,,,,,,,,1.0,3.0,3.0,1.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,0,0,0,0,0,0,0
541102b008ad6ee3090e666c,541102b008ad6ee3090e666c,dublin,male,1990-01-01,,irish,,,False,21.0,True,,,,,,,,5.0,4.0,2.0,2.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,0,0,0,0,0,0,0
541102b108ad6ee3090e6675,541102b108ad6ee3090e6675,dublin,female,1960-01-01,,irish,,,False,51.0,False,,,,,,,,1.0,4.0,4.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,0,1,1,0,0,0,0,1,1
541102b108ad6ee3090e667d,541102b108ad6ee3090e667d,dublin,male,1980-01-01,,other,,,False,31.0,False,,,,,,,,1.0,4.0,5.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,0,0,0,0,0,0,0
5411030f08ad6ee3090e67cf,5411030f08ad6ee3090e67cf,dublin,male,1984-01-01,False,irish,,1,False,27.0,False,,,,,,,,1.0,4.0,4.0,3.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,0,0,0,0,0,0,0
5411030f08ad6ee3090e67d7,5411030f08ad6ee3090e67d7,dublin,female,1995-01-01,True,other,,3,True,16.0,False,,,,,,,,1.0,3.0,5.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,1,0
5411031108ad6ee3090e67f3,5411031108ad6ee3090e67f3,dublin,female,1999-01-01,True,irish,,2,False,12.0,False,,,,,,,,3.0,1.0,4.0,4.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0,0
5411036108ad6ee3090e68e7,5411036108ad6ee3090e68e7,dublin,male,1950-01-01,,irish,,,False,61.0,False,,,,,,,,2.0,3.0,4.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,1,0,0,0,0,1,1
5411036308ad6ee3090e68ff,5411036308ad6ee3090e68ff,dublin,male,1980-01-01,,irish,,,False,31.0,True,,,,,,,,1.0,4.0,4.0,1.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,0,0,0,0,0,0,1,1
541103aa08ad6ee3090e69d4,541103aa08ad6ee3090e69d4,dublin,female,1979-01-01,True,irish,,2,False,32.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,1,0,1,1,0,0,0,1
541103ac08ad6ee3090e69fb,541103ac08ad6ee3090e69fb,dublin,female,1972-01-01,False,other,,3,False,39.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,0,0,0,0,0,0,1
541103ad08ad6ee3090e6a03,541103ad08ad6ee3090e6a03,dublin,male,1996-01-01,False,irish,,3,False,15.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0,0
541103ae08ad6ee3090e6a0f,541103ae08ad6ee3090e6a0f,dublin,female,1982-01-01,False,other,,3,False,29.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,1,0,1,1,0,0,0,0
541103e208ad6ee3090e6ac5,541103e208ad6ee3090e6ac5,dublin,female,2002-01-01,True,irish,,2,False,9.0,False,,,,,,,,1.0,5.0,5.0,1.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,1,0,0,0,0,0
5411041008ad6ee3090e6b57,5411041008ad6ee3090e6b57,dublin,male,1980-01-01,,other,,,False,31.0,False,,,,,,,,1.0,4.0,4.0,1.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,0,0,1,0,0,0,0
5411041308ad6ee3090e6b77,5411041308ad6ee3090e6b77,dublin,male,1980-01-01,,other,,,False,31.0,True,,,,,,,,2.0,4.0,2.0,4.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,1,0,0,1,0,0,1,0
5411047508ad6ee3090e6cbd,5411047508ad6ee3090e6cbd,dublin,male,1998-01-01,False,irish,,1,False,13.0,False,,,,,,,,2.0,3.0,5.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0,0
5411047608ad6ee3090e6cc9,5411047608ad6ee3090e6cc9,dublin,male,1998-01-01,False,other,,3,False,13.0,True,,,,,,,,2.0,5.0,2.0,2.0,5.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,0,0,0,0,0,0,0
