,_id,metadata.location,metadata.language,answers.nationality,answers.age,answers.sex,answers.hearing_impairments,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.musical_expertise,answers.concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,answers.dob,answers.musical_background,answers.visual_impairments,control_inspired,control_wonder,control_spirituality,control_thrills,control_chills,control_tenderness,control_nostalgia,control_goosebumps,control_overwhelmed,control_shivers,song_inspired,song_wonder,song_spirituality,song_thrills,song_chills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,control_chillsshiversthrills,song_chillsshiversthrills,control_transcendence,control_sadness,control_joyfulactivation,control_peacefulness,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song,answers.musicpref.hip_hop,answers.musicpref.traditional_irish,answers.musicpref.classical,answers.musicpref.hiphop,answers.musicpref.folk,answers.musicpref.jazz,answers.musicpref.dance,answers.musicpref.world,answers.musicpref.rock,answers.musicpref.none,answers.musicpref.pop
570eb74b83a73509d0e02a0b,570eb74b83a73509d0e02a0b,taipei_city,en,taiwanese,6.0,male,False,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3,3.0,True,5.0,3,5,2,4,3,-1,5.0,1.0,4.0,4.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,0,0,0
570eb78a83a73509d0e03ea6,570eb78a83a73509d0e03ea6,taipei_city,en,taiwanese,13.0,female,False,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,1.0,3,5.0,True,2.0,3,1,3,3,3,-1,5.0,5.0,5.0,5.0,1.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,0,0,1
570eb79583a73509d0e0421c,570eb79583a73509d0e0421c,taipei_city,en,taiwanese,13.0,female,False,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,2.0,2,3.0,True,3.0,5,4,4,3,4,-1,3.0,5.0,5.0,4.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,0,1
570eb74483a73509d0e027df,570eb74483a73509d0e027df,taipei_city,en,taiwanese,18.0,female,False,2.0,3.0,2.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,1,2.0,True,3.0,2,2,2,2,2,-1,3.0,3.0,3.0,2.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,0,0,0
570eb7aa83a73509d0e048ae,570eb7aa83a73509d0e048ae,taipei_city,zh_TW,taiwanese,28.0,female,False,4.0,1.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,3,5.0,True,4.0,1,3,3,3,2,-1,4.0,5.0,5.0,4.0,3.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,1,0,0,1,0,1
570eb75483a73509d0e02d40,570eb75483a73509d0e02d40,taipei_city,en,american,14.0,female,False,4.0,1.0,5.0,3.0,2.0,5.0,4.0,4.0,2.0,3.0,3,4.0,True,4.0,1,3,1,1,2,-1,4.0,4.0,5.0,5.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,1,0,0,0,0,0,0,1
570eb72b83a73509d0e01f7c,570eb72b83a73509d0e01f7c,taipei_city,zh_TW,taiwanese,5.0,male,False,5.0,2.0,5.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,1,3.0,True,3.0,3,4,4,3,3,-1,2.0,5.0,5.0,5.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,0,0,0
570eb72383a73509d0e01cf8,570eb72383a73509d0e01cf8,taipei_city,en,taiwanese,11.0,male,False,1.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,4.0,3.0,1,5.0,True,5.0,5,4,5,5,5,-1,5.0,5.0,5.0,5.0,3.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
570eb75a83a73509d0e02f39,570eb75a83a73509d0e02f39,taipei_city,en,taiwanese,14.0,female,False,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3,4.0,True,3.0,4,4,4,3,4,-1,4.0,5.0,4.0,5.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,1,0,0,0,1
570eb78b83a73509d0e03f1b,570eb78b83a73509d0e03f1b,taipei_city,en,taiwanese,9.0,male,False,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,1,4.0,True,2.0,3,2,3,4,3,-1,2.0,5.0,4.0,5.0,5.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,0,0,0
570eb72c83a73509d0e01ff0,570eb72c83a73509d0e01ff0,taipei_city,zh_TW,taiwanese,8.0,male,False,5.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,5.0,3.0,2,3.0,True,2.0,1,2,2,3,1,-1,3.0,5.0,5.0,5.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,1
570eb76283a73509d0e03220,570eb76283a73509d0e03220,taipei_city,zh_TW,taiwanese,13.0,male,False,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,5.0,True,3.0,1,5,3,5,5,-1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,1,0,0,0,0,0,0
570eb76f83a73509d0e0361a,570eb76f83a73509d0e0361a,taichung_city,en,taiwanese,27.0,female,False,4.0,4.0,3.0,4.0,1.0,4.0,2.0,4.0,5.0,4.0,2,2.0,True,4.0,3,4,3,5,4,-1,3.0,4.0,4.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,1,0,0,0,0,0,1
570eb7aa83a73509d0e04895,570eb7aa83a73509d0e04895,taichung_city,en,taiwanese,14.0,male,False,4.0,5.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,3,5.0,True,3.0,4,3,3,3,3,-1,3.0,4.0,3.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,1,0,0,0
570eb76a83a73509d0e03493,570eb76a83a73509d0e03493,taichung_city,en,taiwanese,17.0,male,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,True,3.0,3,3,1,3,3,-1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,1,0,0,0
570eb73983a73509d0e02466,570eb73983a73509d0e02466,taichung_city,en,taiwanese,9.0,male,False,4.0,1.0,3.0,3.0,5.0,1.0,5.0,5.0,4.0,3.0,2,4.0,True,2.0,1,4,4,4,3,-1,5.0,5.0,4.0,5.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,1,0,0,0,0,0
570eb72f83a73509d0e02101,570eb72f83a73509d0e02101,taichung_city,en,taiwanese,19.0,female,False,4.0,1.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,1,5.0,True,3.0,5,3,4,5,4,-1,5.0,2.0,2.0,3.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,0,1
5410f6d008ad6ee3090e399c,5410f6d008ad6ee3090e399c,dublin,,irish,20.0,male,False,,,,,,,,,,,,,True,,,,,,,,,3.0,3.0,4.0,5.0,4.0,2.0,1991-01-01,,,,,,,,,,,,,3.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,2.0,,,,,,,,,,,hallelujah,0,1,0,0,0,1,1,0,1,0,1
5410f6d108ad6ee3090e39ad,5410f6d108ad6ee3090e39ad,dublin,,british,32.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,1.0,3.0,4.0,5.0,1979-01-01,,,,,,,,,,,,,4.0,5.0,4.0,1.0,4.0,5.0,5.0,4.0,4.0,3.0,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,1,0
5410f76708ad6ee3090e3c1a,5410f76708ad6ee3090e3c1a,dublin,,irish,33.0,male,True,,,,,,,,,,,,,True,,,,,,,,,4.0,3.0,4.0,4.0,4.0,3.0,1978-01-01,,,,,,,,,,,,,2.0,2.0,4.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,,,,,,,,,,,hallelujah,0,0,0,0,0,0,1,0,0,0,0
5410f7fc08ad6ee3090e3e4e,5410f7fc08ad6ee3090e3e4e,dublin,,british,25.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,4.0,1.0,5.0,3.0,4.0,1986-01-01,,,,,,,,,,,,,2.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,1
5410f88208ad6ee3090e407b,5410f88208ad6ee3090e407b,dublin,,irish,27.0,female,True,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,1.0,4.0,3.0,5.0,1984-01-01,,,,,,,,,,,,,2.0,4.0,4.0,2.0,1.0,2.0,4.0,3.0,4.0,2.0,,,,,,,,,,,hallelujah,0,1,0,0,0,0,0,0,1,0,1
5410fa6408ad6ee3090e46e0,5410fa6408ad6ee3090e46e0,dublin,,irish,23.0,female,False,,,,,,,,,,,,,True,,,,,,,,,5.0,2.0,5.0,2.0,5.0,4.0,1988-01-01,,,,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,hallelujah,1,0,0,0,0,0,0,0,1,0,1
5410fa6408ad6ee3090e46e4,5410fa6408ad6ee3090e46e4,dublin,,irish,25.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,1.0,3.0,2.0,4.0,1986-01-01,,,,,,,,,,,,,3.0,3.0,4.0,1.0,1.0,4.0,5.0,1.0,3.0,1.0,,,,,,,,,,,hallelujah,1,1,1,0,0,1,1,1,1,0,1
5410fb2f08ad6ee3090e49d7,5410fb2f08ad6ee3090e49d7,dublin,,other,28.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,5.0,1.0,1.0,1.0,5.0,1983-01-01,,,,,,,,,,,,,4.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,3.0,,,,,,,,,,,hallelujah,0,0,0,0,0,0,1,1,0,0,1
5410fba108ad6ee3090e4b8b,5410fba108ad6ee3090e4b8b,dublin,,irish,15.0,female,False,,,,,,,,,,,,,True,,,,,,,,,3.0,4.0,4.0,4.0,3.0,2.0,1996-01-01,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5410fba308ad6ee3090e4baa,5410fba308ad6ee3090e4baa,dublin,,irish,43.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,5.0,1.0,5.0,4.0,5.0,1968-01-01,,,,,,,,,,,,,1.0,5.0,5.0,1.0,4.0,5.0,5.0,3.0,5.0,4.0,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,0,1
5410fc6508ad6ee3090e4e96,5410fc6508ad6ee3090e4e96,dublin,,irish,24.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,2.0,1.0,3.0,2.0,3.0,1987-01-01,,,,,,,,,,,,,3.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,,,,,,,,,,,hallelujah,1,0,0,0,0,0,0,0,1,0,0
5410fc6508ad6ee3090e4e9a,5410fc6508ad6ee3090e4e9a,dublin,,british,20.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,1.0,1.0,3.0,4.0,3.0,1991-01-01,,,,,,,,,,,,,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5410fc6708ad6ee3090e4eb4,5410fc6708ad6ee3090e4eb4,dublin,,british,27.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,2.0,4.0,2.0,3.0,1984-01-01,,,,,,,,,,,,,3.0,5.0,3.0,4.0,4.0,4.0,5.0,1.0,4.0,1.0,,,,,,,,,,,hallelujah,1,0,0,0,0,0,1,0,1,0,1
5410fe0208ad6ee3090e54c4,5410fe0208ad6ee3090e54c4,dublin,,other,12.0,female,False,,,,,,,,,,,,,True,,,,,,,,,2.0,4.0,3.0,4.0,2.0,4.0,1999-01-01,,,,,,,,,,,,,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,hallelujah,1,0,0,0,0,0,0,0,1,0,1
5410fe8808ad6ee3090e56ad,5410fe8808ad6ee3090e56ad,dublin,,other,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,3.0,1.0,2.0,3.0,4.0,1990-01-01,,,,,,,,,,,,,4.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,5.0,3.0,,,,,,,,,,,hallelujah,1,0,1,0,0,1,1,0,1,0,1
5410fe8808ad6ee3090e56b0,5410fe8808ad6ee3090e56b0,dublin,,british,23.0,male,False,,,,,,,,,,,,,True,,,,,,,,,3.0,4.0,3.0,4.0,4.0,4.0,1988-01-01,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,0,1
541101e408ad6ee3090e63be,541101e408ad6ee3090e63be,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,3.0,1.0,2.0,4.0,4.0,1990-01-01,,,,,,,,,,,,,4.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,,,,,,,,,,,hallelujah,0,0,0,0,0,0,1,0,1,0,1
541102b008ad6ee3090e6671,541102b008ad6ee3090e6671,dublin,,irish,41.0,female,False,,,,,,,,,,,,,True,,,,,,,,,3.0,4.0,4.0,3.0,3.0,4.0,1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
541102b108ad6ee3090e6683,541102b108ad6ee3090e6683,dublin,,irish,21.0,female,False,,,,,,,,,,,,,True,,,,,,,,,4.0,4.0,5.0,4.0,3.0,2.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,0,1
5411036108ad6ee3090e68e1,5411036108ad6ee3090e68e1,dublin,,irish,11.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,3.0,2.0,2.0,3.0,5.0,2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5411041208ad6ee3090e6b71,5411041208ad6ee3090e6b71,dublin,,other,21.0,male,True,,,,,,,,,,,,,True,,,,,,,,,3.0,3.0,3.0,3.0,3.0,2.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,hallelujah,1,0,0,0,0,0,0,0,0,0,1
5411059808ad6ee3090e70dc,5411059808ad6ee3090e70dc,dublin,,irish,11.0,female,False,,,,,,,,,,,,,True,,,,,,,,,3.0,5.0,5.0,3.0,2.0,3.0,2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,0,1
541106b708ad6ee3090e752c,541106b708ad6ee3090e752c,dublin,,other,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,1.0,2.0,1.0,5.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,hallelujah,0,1,0,0,0,0,0,0,1,0,1
5411076d08ad6ee3090e7774,5411076d08ad6ee3090e7774,dublin,,irish,41.0,male,False,,,,,,,,,,,,,True,,,,,,,,,3.0,4.0,1.0,2.0,1.0,4.0,1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,hallelujah,0,0,0,0,0,1,1,0,1,0,1
5410f7b408ad6ee3090e3d16,5410f7b408ad6ee3090e3d16,dublin,,irish,31.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,3.0,1.0,1.0,1.0,4.0,1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,hallelujah,0,0,0,0,0,0,1,0,1,0,0
5410f7b408ad6ee3090e3d1c,5410f7b408ad6ee3090e3d1c,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,3.0,4.0,1.0,4.0,3.0,4.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,hallelujah,1,0,0,0,0,0,0,0,1,0,1
5410f9f808ad6ee3090e4547,5410f9f808ad6ee3090e4547,dublin,,irish,41.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,5.0,3.0,4.0,4.0,4.0,1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5410fc0708ad6ee3090e4d0f,5410fc0708ad6ee3090e4d0f,dublin,,other,21.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,2.0,1.0,4.0,3.0,5.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,1,0,1
5410fc0808ad6ee3090e4d23,5410fc0808ad6ee3090e4d23,dublin,,other,21.0,female,True,,,,,,,,,,,,,True,,,,,,,,,1.0,5.0,1.0,3.0,1.0,5.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,1,1,0,1
5410fc0908ad6ee3090e4d43,5410fc0908ad6ee3090e4d43,dublin,,other,71.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,1.0,3.0,1.0,4.0,1940-01-01,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,hallelujah,0,1,1,0,0,0,0,0,1,0,0
5410fcba08ad6ee3090e4fdc,5410fcba08ad6ee3090e4fdc,dublin,,irish,31.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,5.0,1.0,2.0,1.0,5.0,1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5410fd5c08ad6ee3090e5223,5410fd5c08ad6ee3090e5223,dublin,,irish,32.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,3.0,1.0,3.0,3.0,4.0,1979-01-01,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,hallelujah,1,1,1,0,0,1,0,1,1,0,1
5410fda608ad6ee3090e5348,5410fda608ad6ee3090e5348,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,4.0,3.0,5.0,3.0,3.0,3.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5410ffdb08ad6ee3090e5bb8,5410ffdb08ad6ee3090e5bb8,dublin,,irish,21.0,male,False,,,,,,,,,,,1,,True,,,,,,,,,2.0,4.0,3.0,3.0,3.0,4.0,1990-01-01,False,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,0,0,0,0,0,0,1,0,1,0,0
5411015608ad6ee3090e6171,5411015608ad6ee3090e6171,dublin,,irish,12.0,male,False,,,,,,,,,,,2,,True,,,,,,,,,4.0,4.0,3.0,3.0,3.0,3.0,1999-01-01,False,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,0,1
541101b808ad6ee3090e62eb,541101b808ad6ee3090e62eb,dublin,,irish,39.0,male,False,,,,,,,,,,,2,,True,,,,,,,,,3.0,3.0,1.0,4.0,3.0,4.0,1972-01-01,False,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,hallelujah,0,0,0,0,0,1,1,0,0,0,1
541101b908ad6ee3090e6304,541101b908ad6ee3090e6304,dublin,,irish,29.0,female,False,,,,,,,,,,,3,,True,,,,,,,,,2.0,4.0,2.0,4.0,3.0,4.0,1982-01-01,False,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,1,1,0,1
5411031008ad6ee3090e67e0,5411031008ad6ee3090e67e0,dublin,,irish,34.0,female,True,,,,,,,,,,,4,,True,,,,,,,,,1.0,5.0,1.0,2.0,1.0,5.0,1977-01-01,True,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,1
5411031108ad6ee3090e67ed,5411031108ad6ee3090e67ed,dublin,,irish,19.0,male,False,,,,,,,,,,,5,,True,,,,,,,,,1.0,1.0,1.0,2.0,4.0,5.0,1992-01-01,True,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
