,_id,metadata.location,metadata.language,answers.nationality,answers.age,answers.sex,answers.hearing_impairments,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.musical_expertise,answers.concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,answers.dob,answers.musical_background,answers.visual_impairments,control_chillsshiversthrills,song_chillsshiversthrills,control_transcendence,control_sadness,control_wonder,control_joyfulactivation,control_tenderness,control_peacefulness,control_nostalgia,song_transcendence,song_sadness,song_wonder,song_joyfulactivation,song_tenderness,song_peacefulness,song_nostalgia,song,answers.musicpref.dance,answers.musicpref.rock,answers.musicpref.jazz,answers.musicpref.pop,answers.musicpref.classical,answers.musicpref.hiphop,answers.musicpref.folk,answers.musicpref.traditional_irish,answers.musicpref.hip_hop,answers.musicpref.world
570eb77a83a73509d0e039dc,570eb77a83a73509d0e039dc,taipei_city,en,taiwanese,30.0,male,False,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2,3.0,True,4.0,4,4,3,5,4,-1,4.0,5.0,4.0,4.0,5.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb72383a73509d0e01cff,570eb72383a73509d0e01cff,taichung_city,en,taiwanese,18.0,female,False,4.0,1.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,1,4.0,True,2.0,3,4,2,3,3,-1,5.0,5.0,5.0,5.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb74a83a73509d0e029f0,570eb74a83a73509d0e029f0,taichung_city,en,taiwanese,27.0,female,False,4.0,2.0,4.0,4.0,3.0,4.0,2.0,5.0,2.0,3.0,3,4.0,True,4.0,2,3,2,2,3,-1,3.0,4.0,4.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,1,1,0,1,0,0,0,0,1
570eb77e83a73509d0e03b4c,570eb77e83a73509d0e03b4c,taichung_city,zh_TW,taiwanese,21.0,male,False,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3,4.0,True,4.0,3,3,4,2,3,-1,4.0,4.0,4.0,5.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,0,0,0,0,0,1
570eb78b83a73509d0e03ee5,570eb78b83a73509d0e03ee5,taichung_city,en,taiwanese,19.0,female,False,4.0,2.0,5.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,2,3.0,True,4.0,4,4,4,3,4,-1,5.0,5.0,5.0,5.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,1,0,0,0,0,0
570eb7b883a73509d0e04cf3,570eb7b883a73509d0e04cf3,taichung_city,zh_TW,taiwanese,51.0,male,False,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,4.0,1,5.0,True,1.0,1,1,5,2,1,-1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
541102ae08ad6ee3090e6643,541102ae08ad6ee3090e6643,dublin,,irish,21.0,female,False,,,,,,,,,,,,,True,,,,,,,,,3.0,4.0,2.0,4.0,2.0,3.0,1990-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,0,0,0,1,0,0,0,0,0
541102b008ad6ee3090e666c,541102b008ad6ee3090e666c,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,3.0,2.0,3.0,4.0,4.0,2.0,1990-01-01,,,,5.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5411036308ad6ee3090e68ff,5411036308ad6ee3090e68ff,dublin,,irish,31.0,male,False,,,,,,,,,,,,,True,,,,,,,,,4.0,4.0,4.0,4.0,4.0,1.0,1980-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,1,0,1,0,0,0,0,1
5411041308ad6ee3090e6b77,5411041308ad6ee3090e6b77,dublin,,other,31.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,2.0,1.0,4.0,4.0,4.0,1980-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,1,0,0,0,1,1
5411051908ad6ee3090e6f34,5411051908ad6ee3090e6f34,dublin,,other,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,5.0,2.0,5.0,4.0,1.0,1990-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,1,0
5411059908ad6ee3090e70e7,5411059908ad6ee3090e70e7,dublin,,irish,41.0,female,False,,,,,,,,,,,,,True,,,,,,,,,2.0,2.0,2.0,4.0,4.0,5.0,1970-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,1,1,1,1,1,0,0,1,0,0
5411059a08ad6ee3090e70fb,5411059a08ad6ee3090e70fb,dublin,,irish,31.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,5.0,1.0,3.0,4.0,5.0,1980-01-01,,,,5.0,,,,,,,,,,,,,,,into_dust,1,1,0,0,1,0,0,0,0,0
5411059b08ad6ee3090e7107,5411059b08ad6ee3090e7107,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,4.0,2.0,3.0,3.0,1.0,1990-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5411061e08ad6ee3090e72f0,5411061e08ad6ee3090e72f0,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,4.0,3.0,3.0,2.0,3.0,1990-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5411061f08ad6ee3090e72ff,5411061f08ad6ee3090e72ff,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,4.0,3.0,2.0,1.0,4.0,1990-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,1,1,0,1,0,0,0,0,1,0
5411062008ad6ee3090e730c,5411062008ad6ee3090e730c,dublin,,other,31.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,2.0,3.0,2.0,3.0,1980-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,1,1,0,1,0,0,0,0,0,1
5411076d08ad6ee3090e7777,5411076d08ad6ee3090e7777,dublin,,other,41.0,female,False,,,,,,,,,,,,,True,,,,,,,,,2.0,3.0,2.0,4.0,1.0,1.0,1970-01-01,,,,4.0,,,,,,,,,,,,,,,into_dust,1,0,0,1,1,0,0,0,0,0
5410f7b408ad6ee3090e3d12,5410f7b408ad6ee3090e3d12,dublin,,irish,21.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,2.0,3.0,2.0,4.0,1990-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,1,0
5410f7b508ad6ee3090e3d2b,5410f7b508ad6ee3090e3d2b,dublin,,irish,81.0,male,True,,,,,,,,,,,,,True,,,,,,,,,3.0,4.0,3.0,3.0,3.0,1.0,1930-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,0,1,0,1,0,0,0,0,0
5410f7b608ad6ee3090e3d34,5410f7b608ad6ee3090e3d34,dublin,,other,31.0,male,False,,,,,,,,,,,,,True,,,,,,,,,3.0,2.0,4.0,3.0,4.0,2.0,1980-01-01,,,,3.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5410f7b608ad6ee3090e3d37,5410f7b608ad6ee3090e3d37,dublin,,irish,21.0,female,False,,,,,,,,,,,,,True,,,,,,,,,3.0,5.0,4.0,5.0,3.0,1.0,1990-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,1,1,1,0,0,0,1,1
5410f91308ad6ee3090e41ea,5410f91308ad6ee3090e41ea,dublin,,irish,51.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,5.0,1.0,5.0,1.0,1.0,1960-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,1,0,0
5410fab208ad6ee3090e4807,5410fab208ad6ee3090e4807,dublin,,irish,31.0,female,False,,,,,,,,,,,,,True,,,,,,,,,3.0,5.0,2.0,4.0,3.0,1.0,1980-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,1,1,0,1,0,0,0,0,0,0
5410fc0508ad6ee3090e4cf8,5410fc0508ad6ee3090e4cf8,dublin,,irish,11.0,male,True,,,,,,,,,,,,,True,,,,,,,,,1.0,3.0,1.0,1.0,2.0,3.0,2000-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,1,0,0,0,0,1
5410fcb808ad6ee3090e4fb9,5410fcb808ad6ee3090e4fb9,dublin,,irish,11.0,male,False,,,,,,,,,,,,,True,,,,,,,,,4.0,4.0,2.0,4.0,3.0,1.0,2000-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,1,0
5410fe3c08ad6ee3090e55a0,5410fe3c08ad6ee3090e55a0,dublin,,other,61.0,male,False,,,,,,,,,,,,,True,,,,,,,,,3.0,4.0,4.0,3.0,3.0,1.0,1950-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,0,1
5410fec908ad6ee3090e579f,5410fec908ad6ee3090e579f,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,5.0,1.0,3.0,4.0,3.0,1990-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,0,1,1,0,1,0,0,0,0,0
5410ffd808ad6ee3090e5b8c,5410ffd808ad6ee3090e5b8c,dublin,,irish,11.0,male,False,,,,,,,,,,,3,,True,,,,,,,,,4.0,3.0,4.0,4.0,3.0,1.0,2000-01-01,True,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5410ffda08ad6ee3090e5bab,5410ffda08ad6ee3090e5bab,dublin,,other,25.0,female,False,,,,,,,,,,,3,,True,,,,,,,,,4.0,4.0,4.0,4.0,3.0,1.0,1986-01-01,False,,,1.0,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
541100f808ad6ee3090e5ff6,541100f808ad6ee3090e5ff6,dublin,,irish,14.0,male,False,,,,,,,,,,,2,,True,,,,,,,,,1.0,5.0,1.0,4.0,1.0,2.0,1997-01-01,False,,,3.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
541100f908ad6ee3090e5fff,541100f908ad6ee3090e5fff,dublin,,irish,14.0,female,False,,,,,,,,,,,3,,True,,,,,,,,,4.0,4.0,4.0,5.0,3.0,1.0,1997-01-01,True,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5411015508ad6ee3090e615e,5411015508ad6ee3090e615e,dublin,,other,17.0,male,False,,,,,,,,,,,3,,True,,,,,,,,,3.0,4.0,2.0,4.0,3.0,2.0,1994-01-01,True,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,0,0
541101b908ad6ee3090e62f7,541101b908ad6ee3090e62f7,dublin,,irish,27.0,female,False,,,,,,,,,,,1,,True,,,,,,,,,2.0,5.0,2.0,4.0,3.0,3.0,1984-01-01,False,,,3.0,,,,,,,,,,,,,,,into_dust,1,1,1,1,0,0,0,0,1,0
541101b908ad6ee3090e6300,541101b908ad6ee3090e6300,dublin,,irish,55.0,male,False,,,,,,,,,,,3,,True,,,,,,,,,1.0,4.0,1.0,2.0,1.0,5.0,1956-01-01,True,,,4.0,,,,,,,,,,,,,,,into_dust,0,1,1,0,1,0,0,1,0,1
5411022e08ad6ee3090e64bb,5411022e08ad6ee3090e64bb,dublin,,other,27.0,male,False,,,,,,,,,,,3,,True,,,,,,,,,3.0,4.0,2.0,4.0,2.0,1.0,1984-01-01,False,,,2.0,,,,,,,,,,,,,,,into_dust,0,1,1,1,0,0,0,0,1,1
5411030f08ad6ee3090e67cf,5411030f08ad6ee3090e67cf,dublin,,irish,27.0,male,False,,,,,,,,,,,1,,True,,,,,,,,,4.0,4.0,2.0,4.0,4.0,3.0,1984-01-01,False,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,0,0
5411030f08ad6ee3090e67d7,5411030f08ad6ee3090e67d7,dublin,,other,16.0,female,True,,,,,,,,,,,3,,True,,,,,,,,,1.0,5.0,1.0,3.0,2.0,2.0,1995-01-01,True,,,1.0,,,,,,,,,,,,,,,into_dust,0,0,0,1,1,0,0,0,0,0
5411047508ad6ee3090e6cbd,5411047508ad6ee3090e6cbd,dublin,,irish,13.0,male,False,,,,,,,,,,,1,,True,,,,,,,,,2.0,5.0,2.0,3.0,2.0,4.0,1998-01-01,False,,,2.0,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
5411047608ad6ee3090e6cc9,5411047608ad6ee3090e6cc9,dublin,,other,13.0,male,False,,,,,,,,,,,3,,True,,,,,,,,,4.0,2.0,5.0,5.0,3.0,2.0,1998-01-01,False,,,2.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5411054d08ad6ee3090e6fe5,5411054d08ad6ee3090e6fe5,dublin,,irish,30.0,female,False,,,,,,,,,,,2,,True,,,,,,,,,2.0,4.0,2.0,3.0,2.0,2.0,1981-01-01,True,,,2.0,,,,,,,,,,,,,,,into_dust,1,1,0,1,1,0,0,1,0,1
5411072208ad6ee3090e767f,5411072208ad6ee3090e767f,dublin,,other,51.0,female,False,,,,,,,,,,,2,,True,,,,,,,,2.0,,1.0,,,,,1960-01-01,True,,,,,,,,,,,1.0,3.0,2.0,2.0,2.0,3.0,3.0,into_dust,0,0,0,0,1,0,0,0,0,0
5410f8da08ad6ee3090e4126,5410f8da08ad6ee3090e4126,dublin,,irish,20.0,male,False,,,,,,,,,,,2,,True,,,,,,,,4.0,,1.0,,,,,1991-01-01,False,,,,,,,,,,,4.0,4.0,3.0,2.0,4.0,4.0,2.0,into_dust,1,1,0,1,0,0,0,0,1,0
5411002b08ad6ee3090e5cf8,5411002b08ad6ee3090e5cf8,dublin,,other,25.0,female,False,,,,,,,,,,,3,,True,,,,,,,,5.0,,1.0,,,,,1986-01-01,False,,,,,,,,,,,5.0,2.0,3.0,3.0,4.0,5.0,3.0,into_dust,0,0,0,0,0,0,0,0,0,1
541100bc08ad6ee3090e5f2d,541100bc08ad6ee3090e5f2d,dublin,,other,25.0,female,False,,,,,,,,,,,2,,True,,,,,,,,3.0,,2.0,,,,,1986-01-01,False,,,,,,,,,,,2.0,5.0,3.0,2.0,4.0,5.0,2.0,into_dust,1,1,0,1,0,0,0,1,1,0
541100bc08ad6ee3090e5f35,541100bc08ad6ee3090e5f35,dublin,,irish,56.0,female,False,,,,,,,,,,,2,,True,,,,,,,,2.0,,1.0,,,,,1955-01-01,False,,,,,,,,,,,2.0,2.0,3.0,1.0,2.0,3.0,1.0,into_dust,0,0,1,1,1,0,0,1,0,1
5411020b08ad6ee3090e6433,5411020b08ad6ee3090e6433,dublin,,irish,23.0,female,False,,,,,,,,,,,3,,True,,,,,,,,,,,,,,,1988-01-01,True,,,,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
541103aa08ad6ee3090e69d4,541103aa08ad6ee3090e69d4,dublin,,irish,32.0,female,False,,,,,,,,,,,2,,True,,,,,,,,,,,,,,,1979-01-01,True,,,,,,,,,,,,,,,,,,into_dust,1,1,1,1,0,0,0,0,1,1
5411049008ad6ee3090e6d3e,5411049008ad6ee3090e6d3e,dublin,,irish,30.0,female,False,,,,,,,,,,,1,,True,,,,,,,,,,,,,,,1981-01-01,False,,,,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,1,1
570eb78183a73509d0e03c12,570eb78183a73509d0e03c12,taipei_city,en,taiwanese,46.0,male,False,4.0,3.0,4.0,4.0,1.0,4.0,2.0,5.0,4.0,2.0,1,4.0,False,2,2,3,2,3,2,-1,3.0,4.0,4.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,into_dust,0,1,0,1,1,0,0,0,0,0
570eb73983a73509d0e02409,570eb73983a73509d0e02409,taipei_city,en,taiwanese,19.0,male,False,4.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,3,4.0,False,3,3,3,4,3,3,-1,3.0,4.0,4.0,5.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb75e83a73509d0e030c4,570eb75e83a73509d0e030c4,taipei_city,en,taiwanese,18.0,female,False,4.0,1.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,2,4.0,False,4,1,2,1,2,2,-1,3.0,5.0,5.0,5.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,0,0
570eb78183a73509d0e03c0b,570eb78183a73509d0e03c0b,taipei_city,zh_TW,taiwanese,25.0,female,False,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,False,3,2,4,3,4,4,-1,4.0,5.0,5.0,5.0,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb7b883a73509d0e04d15,570eb7b883a73509d0e04d15,taipei_city,en,taiwanese,20.0,male,True,5.0,1.0,5.0,2.0,5.0,4.0,5.0,2.0,1.0,2.0,4,5.0,False,5,2,3,4,3,3,-1,1.0,5.0,5.0,5.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb74b83a73509d0e02a0f,570eb74b83a73509d0e02a0f,taipei_city,en,taiwanese,21.0,female,False,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,2,5.0,False,2,3,3,4,4,3,-1,1.0,5.0,5.0,5.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,1,0,0,0,0,0
570eb77c83a73509d0e03a6b,570eb77c83a73509d0e03a6b,taipei_city,en,taiwanese,11.0,male,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,5.0,False,1,2,5,2,3,4,-1,5.0,5.0,5.0,5.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb75083a73509d0e02bb7,570eb75083a73509d0e02bb7,taipei_city,zh_TW,taiwanese,31.0,female,False,2.0,1.0,4.0,5.0,1.0,4.0,2.0,5.0,5.0,4.0,3,1.0,False,3,3,4,1,4,2,-1,2.0,4.0,4.0,3.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,0,0
570eb72e83a73509d0e020b7,570eb72e83a73509d0e020b7,taipei_city,en,taiwanese,13.0,male,False,5.0,4.0,2.0,2.0,2.0,5.0,5.0,2.0,5.0,4.0,1,4.0,False,2,5,5,4,3,5,-1,5.0,5.0,4.0,5.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb72683a73509d0e01e07,570eb72683a73509d0e01e07,taipei_city,zh_TW,taiwanese,11.0,male,False,1.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,3.0,5.0,5,1.0,False,1,1,1,1,5,1,-1,5.0,5.0,5.0,5.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
