,_id,metadata.location,metadata.language,answers.nationality,answers.age,answers.sex,answers.hearing_impairments,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.musical_expertise,answers.concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,answers.musicpref.world,answers.musicpref.pop,answers.musicpref.dance,answers.musicpref.rock,answers.musicpref.jazz,answers.musicpref.folk,answers.musicpref.hiphop,answers.musicpref.classical
570eb71e83a73509d0e01b77,570eb71e83a73509d0e01b77,taipei_city,en,taiwanese,10,female,False,4,1,5,2,5,4,5,4,2,3,2,5,True,1,5,5,5,5,5,-1,,,,,,,,slayer_taiwan,0,0,0,1,0,0,0,0
570eb79383a73509d0e04174,570eb79383a73509d0e04174,taipei_city,en,taiwanese,13,male,False,2,2,2,2,3,3,2,2,3,2,1,4,True,3,5,3,4,4,4,-1,,,,,,,,slayer_taiwan,0,0,0,0,1,0,0,0
570eb7aa83a73509d0e048b3,570eb7aa83a73509d0e048b3,taipei_city,en,taiwanese,15,female,False,3,2,3,2,4,4,3,5,3,3,3,3,True,3,3,4,3,3,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb78583a73509d0e03d0a,570eb78583a73509d0e03d0a,taipei_city,en,taiwanese,15,male,False,2,2,4,1,5,4,4,2,1,3,1,5,True,3,4,4,5,2,4,-1,,,,,,,,slayer_taiwan,0,0,0,0,0,0,0,1
570eb7b083a73509d0e04a5e,570eb7b083a73509d0e04a5e,taipei_city,en,taiwanese,14,female,False,4,5,3,3,2,4,5,4,2,3,3,3,True,1,3,3,2,2,1,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb75183a73509d0e02c2c,570eb75183a73509d0e02c2c,taipei_city,en,taiwanese,26,male,False,2,2,4,4,2,4,2,4,4,4,1,5,True,5,5,5,5,5,5,-1,,,,,,,,slayer_taiwan,0,0,1,0,0,0,0,1
570eb77e83a73509d0e03b3f,570eb77e83a73509d0e03b3f,taipei_city,en,taiwanese,22,female,False,2,1,5,4,3,4,2,5,4,4,3,3,True,3,2,3,2,2,3,-1,,,,,,,,slayer_taiwan,0,0,1,1,0,0,0,0
570eb77583a73509d0e03860,570eb77583a73509d0e03860,taipei_city,en,taiwanese,6,female,False,1,1,5,1,1,1,5,1,4,5,1,5,True,5,5,5,5,5,4,-1,,,,,,,,slayer_taiwan,0,0,1,0,0,0,0,0
570eb7c083a73509d0e04f76,570eb7c083a73509d0e04f76,taipei_city,en,taiwanese,7,female,False,2,3,4,4,4,2,3,4,2,4,1,5,True,3,1,5,3,4,2,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb73183a73509d0e021a0,570eb73183a73509d0e021a0,taipei_city,zh_TW,taiwanese,9,female,False,3,4,3,2,3,5,3,4,4,3,3,1,True,4,1,2,1,3,2,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb74d83a73509d0e02aa7,570eb74d83a73509d0e02aa7,taipei_city,en,taiwanese,14,female,False,4,3,2,1,4,5,4,1,5,2,3,5,True,2,1,2,2,2,2,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb75e83a73509d0e030c3,570eb75e83a73509d0e030c3,taipei_city,en,taiwanese,8,male,False,4,4,4,4,2,4,2,5,4,1,1,4,True,4,4,3,3,3,2,-1,,,,,,,,slayer_taiwan,0,0,1,0,0,0,0,0
570eb7a883a73509d0e047f9,570eb7a883a73509d0e047f9,taipei_city,en,taiwanese,19,female,True,2,1,4,4,3,2,2,4,2,3,1,4,True,4,2,4,4,4,3,-1,,,,,,,,slayer_taiwan,0,0,0,0,1,0,0,0
570eb74b83a73509d0e02a46,570eb74b83a73509d0e02a46,taipei_city,en,taiwanese,13,female,False,4,2,3,4,4,4,3,4,1,1,3,5,True,1,5,5,1,5,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb77683a73509d0e03879,570eb77683a73509d0e03879,taipei_city,en,taiwanese,8,male,False,5,4,4,2,3,4,1,5,4,4,1,1,True,3,1,3,3,2,1,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb75183a73509d0e02c04,570eb75183a73509d0e02c04,taipei_city,zh_TW,taiwanese,36,female,False,4,5,4,4,4,4,2,4,2,2,1,3,True,3,3,4,1,3,2,-1,,,,,,,,slayer_taiwan,0,0,0,0,0,0,0,1
570eb75383a73509d0e02cf2,570eb75383a73509d0e02cf2,taipei_city,zh_TW,taiwanese,41,male,False,4,3,3,3,4,2,4,4,3,2,1,2,True,2,5,4,3,5,4,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb75a83a73509d0e02f1b,570eb75a83a73509d0e02f1b,taipei_city,zh_TW,taiwanese,11,male,False,4,1,5,5,5,4,4,2,4,4,3,5,True,3,5,5,5,1,5,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb7a783a73509d0e047ae,570eb7a783a73509d0e047ae,taichung_city,en,taiwanese,40,male,False,4,3,4,3,3,2,3,3,2,4,1,3,True,5,2,3,3,2,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb7bd83a73509d0e04e5f,570eb7bd83a73509d0e04e5f,taichung_city,en,malaysian,38,male,False,3,2,2,4,2,4,2,3,2,4,3,4,True,4,5,4,4,4,4,-1,,,,,,,,slayer_taiwan,0,1,1,0,0,0,0,0
570eb7bc83a73509d0e04e0c,570eb7bc83a73509d0e04e0c,taichung_city,zh_TW,taiwanese,26,female,False,4,2,3,4,3,2,3,4,2,4,3,5,True,3,2,3,3,3,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb77b83a73509d0e03a45,570eb77b83a73509d0e03a45,taichung_city,en,taiwanese,12,male,False,3,1,4,3,4,4,2,4,4,2,3,5,True,2,3,5,3,2,3,-1,,,,,,,,slayer_taiwan,0,0,0,1,0,0,0,0
570eb76883a73509d0e033fb,570eb76883a73509d0e033fb,taichung_city,en,taiwanese,19,female,False,5,2,4,4,3,4,2,3,2,4,2,2,True,4,3,4,4,3,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb76a83a73509d0e034b5,570eb76a83a73509d0e034b5,taichung_city,en,taiwanese,32,female,False,4,2,4,4,2,4,2,4,4,2,1,2,True,3,2,3,3,3,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,1,0
570eb77683a73509d0e0389b,570eb77683a73509d0e0389b,taichung_city,en,taiwanese,24,male,False,4,2,3,4,3,3,3,3,2,4,3,3,True,4,3,3,2,1,2,-1,,,,,,,,slayer_taiwan,1,1,0,0,0,1,0,1
570eb73f83a73509d0e0260e,570eb73f83a73509d0e0260e,taichung_city,zh_TW,taiwanese,25,male,False,4,4,4,2,4,4,4,4,4,3,2,5,True,3,4,4,3,3,4,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb72c83a73509d0e0200c,570eb72c83a73509d0e0200c,taichung_city,en,taiwanese,18,female,False,3,4,3,4,4,4,4,3,4,3,1,2,True,3,3,3,3,2,2,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb78083a73509d0e03beb,570eb78083a73509d0e03beb,taichung_city,zh_TW,american,18,male,False,5,1,5,1,5,1,5,1,1,5,5,5,True,5,5,5,5,5,5,-1,,,,,,,,slayer_taiwan,0,0,0,1,0,0,0,0
570eb79383a73509d0e04187,570eb79383a73509d0e04187,taichung_city,en,taiwanese,20,female,False,2,3,3,4,2,5,2,5,4,2,4,3,True,1,3,5,1,2,3,-1,,,,,,,,slayer_taiwan,1,1,0,0,0,1,0,1
570eb77483a73509d0e0382b,570eb77483a73509d0e0382b,taichung_city,zh_TW,taiwanese,15,male,False,4,4,3,3,3,4,4,4,4,3,3,4,True,4,3,4,4,3,4,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,1,0
570eb75983a73509d0e02efc,570eb75983a73509d0e02efc,taichung_city,zh_TW,chinese,14,male,False,3,4,2,2,5,3,3,2,2,2,2,5,True,5,5,5,4,3,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb73a83a73509d0e0246d,570eb73a83a73509d0e0246d,taichung_city,zh_TW,taiwanese,30,female,False,4,3,1,4,3,4,4,4,3,2,1,4,True,3,3,3,3,3,3,-1,,,,,,,,slayer_taiwan,0,1,1,0,0,0,1,0
570eb79783a73509d0e0429c,570eb79783a73509d0e0429c,taichung_city,en,taiwanese,16,female,False,4,2,4,2,5,5,4,5,4,4,4,4,True,5,2,4,4,1,2,-1,,,,,,,,slayer_taiwan,0,1,1,0,0,0,1,1
570eb76683a73509d0e0331b,570eb76683a73509d0e0331b,taichung_city,en,taiwanese,16,female,False,1,1,5,2,2,4,1,4,4,4,2,3,True,2,3,3,3,2,3,-1,,,,,,,,slayer_taiwan,0,0,0,0,0,1,0,0
570eb77883a73509d0e03911,570eb77883a73509d0e03911,taichung_city,en,taiwanese,18,male,False,4,3,4,2,5,5,4,2,2,2,4,5,True,4,4,5,4,3,4,-1,,,,,,,,slayer_taiwan,0,1,0,1,0,0,0,0
570eb76f83a73509d0e03652,570eb76f83a73509d0e03652,taichung_city,en,taiwanese,15,male,False,5,5,3,5,3,3,4,4,5,4,3,4,True,4,4,5,4,3,4,-1,,,,,,,,slayer_taiwan,0,1,0,1,0,0,0,0
570eb75b83a73509d0e02fa1,570eb75b83a73509d0e02fa1,taipei_city,en,taiwanese,10,female,False,1,3,5,1,4,1,5,1,1,5,5,5,False,5,5,5,5,1,5,-1,,,,,,,,slayer_taiwan,1,1,1,0,0,0,1,1
570eb78d83a73509d0e03f98,570eb78d83a73509d0e03f98,taipei_city,en,taiwanese,24,female,False,4,1,3,3,3,3,4,4,3,3,3,3,False,1,4,3,3,3,5,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb74c83a73509d0e02a77,570eb74c83a73509d0e02a77,taipei_city,en,taiwanese,33,female,False,2,3,4,2,2,3,2,4,5,3,1,3,False,3,3,3,3,3,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb77283a73509d0e03727,570eb77283a73509d0e03727,taipei_city,en,taiwanese,30,female,False,2,1,5,4,5,5,4,5,4,2,2,2,False,2,3,2,4,3,2,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb7be83a73509d0e04ed2,570eb7be83a73509d0e04ed2,taipei_city,en,taiwanese,20,female,False,4,2,5,1,4,5,4,4,5,2,2,5,False,4,3,3,3,2,4,-1,,,,,,,,slayer_taiwan,0,1,0,1,0,0,1,1
570eb73e83a73509d0e025e6,570eb73e83a73509d0e025e6,taipei_city,en,british,44,female,False,4,1,5,4,4,5,4,4,4,4,3,5,False,4,5,5,5,2,4,-1,,,,,,,,slayer_taiwan,1,1,0,1,0,1,0,1
570eb77183a73509d0e0371b,570eb77183a73509d0e0371b,taipei_city,zh_TW,taiwanese,18,male,False,4,1,4,4,3,4,3,3,5,2,3,5,False,3,3,5,4,2,4,-1,,,,,,,,slayer_taiwan,0,1,1,0,0,0,0,1
570eb7b283a73509d0e04b11,570eb7b283a73509d0e04b11,taipei_city,en,taiwanese,19,male,False,3,1,5,3,3,2,3,3,4,4,5,4,False,3,3,3,4,3,3,-1,,,,,,,,slayer_taiwan,0,1,1,1,1,0,1,1
570eb75e83a73509d0e03088,570eb75e83a73509d0e03088,taipei_city,en,taiwanese,9,male,False,3,1,2,2,1,4,2,2,2,1,2,5,False,2,2,5,2,2,4,-1,,,,,,,,slayer_taiwan,0,0,0,0,0,0,0,1
570eb72583a73509d0e01db1,570eb72583a73509d0e01db1,taipei_city,en,taiwanese,11,female,False,3,1,5,3,5,1,5,1,1,1,4,5,False,1,1,1,5,1,1,-1,,,,,,,,slayer_taiwan,0,1,1,0,0,0,0,1
570eb78883a73509d0e03e34,570eb78883a73509d0e03e34,taipei_city,en,chinese,33,male,False,2,4,2,2,5,1,1,4,5,4,1,3,False,5,5,3,4,3,5,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb78683a73509d0e03d9e,570eb78683a73509d0e03d9e,taipei_city,en,taiwanese,31,female,False,2,1,2,2,2,5,4,4,4,2,2,3,False,2,4,5,3,3,4,-1,,,,,,,,slayer_taiwan,0,1,0,1,1,0,1,1
570eb79483a73509d0e041b5,570eb79483a73509d0e041b5,taipei_city,zh_TW,taiwanese,11,female,False,4,1,5,1,5,3,5,2,5,5,3,5,False,4,5,5,5,5,5,-1,,,,,,,,slayer_taiwan,1,1,1,0,0,0,0,0
570eb72d83a73509d0e02028,570eb72d83a73509d0e02028,taipei_city,en,taiwanese,21,male,False,2,3,2,3,2,4,1,5,2,2,2,2,False,3,2,2,1,3,3,-1,,,,,,,,slayer_taiwan,0,0,0,0,0,0,0,1
570eb77b83a73509d0e03a1a,570eb77b83a73509d0e03a1a,taipei_city,en,taiwanese,17,female,False,4,1,4,4,4,4,4,3,3,2,4,4,False,2,4,4,4,3,4,-1,,,,,,,,slayer_taiwan,0,0,0,0,0,0,0,1
570eb75f83a73509d0e0313f,570eb75f83a73509d0e0313f,taipei_city,en,taiwanese,35,male,False,5,1,5,1,5,1,5,1,1,5,2,5,False,5,1,5,1,3,3,-1,,,,,,,,slayer_taiwan,0,0,0,1,0,0,0,0
570eb77683a73509d0e038a7,570eb77683a73509d0e038a7,taipei_city,en,taiwanese,35,female,False,3,2,3,4,3,3,3,4,4,3,3,3,False,4,2,3,3,2,3,-1,,,,,,,,slayer_taiwan,0,0,0,1,0,0,0,1
570eb71f83a73509d0e01be0,570eb71f83a73509d0e01be0,taipei_city,zh_TW,taiwanese,13,female,False,2,1,4,2,3,3,3,2,3,4,3,4,False,4,2,3,3,3,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb75c83a73509d0e02fed,570eb75c83a73509d0e02fed,taipei_city,en,taiwanese,13,female,False,4,2,3,3,3,5,4,4,4,2,2,4,False,4,4,4,2,2,4,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb79783a73509d0e042e0,570eb79783a73509d0e042e0,taipei_city,en,taiwanese,13,female,False,4,5,4,2,3,4,3,3,3,2,3,4,False,2,3,4,2,2,3,-1,,,,,,,,slayer_taiwan,0,0,0,0,0,0,0,1
570eb75183a73509d0e02c16,570eb75183a73509d0e02c16,taipei_city,en,taiwanese,20,female,False,2,1,3,5,2,5,3,4,4,2,5,4,False,2,4,4,3,3,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,1,0,1
570eb77e83a73509d0e03b36,570eb77e83a73509d0e03b36,taipei_city,en,taiwanese,22,male,False,5,1,5,2,2,4,4,2,3,4,2,4,False,4,3,4,3,3,4,-1,,,,,,,,slayer_taiwan,0,1,0,0,1,0,0,0
570eb71f83a73509d0e01be1,570eb71f83a73509d0e01be1,taipei_city,en,taiwanese,7,female,False,4,2,2,4,2,2,2,4,2,4,3,3,False,3,5,2,5,1,2,-1,,,,,,,,slayer_taiwan,0,0,1,0,0,0,0,0
570eb7a483a73509d0e046d2,570eb7a483a73509d0e046d2,taipei_city,en,taiwanese,25,male,False,4,2,3,4,4,3,2,5,4,4,2,4,False,4,4,4,4,2,4,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb73083a73509d0e02158,570eb73083a73509d0e02158,taipei_city,en,taiwanese,19,female,False,2,3,5,3,5,4,2,5,4,2,3,2,False,3,4,2,1,2,3,-1,,,,,,,,slayer_taiwan,0,0,1,1,0,0,0,0
570eb7c083a73509d0e04f6e,570eb7c083a73509d0e04f6e,taipei_city,en,taiwanese,25,female,False,4,1,5,3,3,4,1,5,4,2,3,3,False,3,3,4,4,3,4,-1,,,,,,,,slayer_taiwan,0,1,0,1,1,0,0,1
570eb77283a73509d0e03724,570eb77283a73509d0e03724,taipei_city,en,taiwanese,44,female,False,3,2,4,5,2,4,4,5,2,3,4,3,False,3,4,2,2,2,5,-1,,,,,,,,slayer_taiwan,0,1,0,0,1,0,0,1
570eb75e83a73509d0e0309a,570eb75e83a73509d0e0309a,taipei_city,en,taiwanese,34,male,False,4,4,2,3,2,4,3,4,2,3,2,4,False,4,3,3,2,3,4,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb73283a73509d0e021ed,570eb73283a73509d0e021ed,taipei_city,en,taiwanese,10,male,False,4,2,2,3,2,4,2,2,3,2,4,3,False,4,3,5,4,4,5,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb7a183a73509d0e045b3,570eb7a183a73509d0e045b3,taipei_city,en,taiwanese,12,female,False,4,2,3,3,5,2,3,4,2,3,3,4,False,3,2,3,3,3,2,-1,,,,,,,,slayer_taiwan,1,1,0,0,0,0,0,1
570eb72f83a73509d0e0210d,570eb72f83a73509d0e0210d,taipei_city,en,taiwanese,40,female,False,5,2,3,2,4,2,4,3,4,4,3,3,False,3,4,4,4,3,4,-1,,,,,,,,slayer_taiwan,0,0,0,0,0,0,0,0
570eb7b583a73509d0e04bcf,570eb7b583a73509d0e04bcf,taipei_city,en,taiwanese,38,male,False,3,3,3,3,3,3,3,3,3,3,2,2,False,3,3,3,1,2,2,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb73083a73509d0e02126,570eb73083a73509d0e02126,taipei_city,en,taiwanese,15,female,False,5,1,4,1,3,5,5,1,2,3,3,4,False,1,5,5,5,3,4,-1,,,,,,,,slayer_taiwan,0,0,0,0,0,0,0,1
570eb77583a73509d0e03840,570eb77583a73509d0e03840,taipei_city,en,taiwanese,15,female,False,5,2,5,5,2,3,4,5,2,3,3,5,False,3,3,3,2,3,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb77083a73509d0e036af,570eb77083a73509d0e036af,taipei_city,en,taiwanese,14,female,False,2,1,5,3,4,4,3,4,5,2,3,4,False,1,4,3,3,4,4,-1,,,,,,,,slayer_taiwan,0,1,1,1,0,0,0,1
570eb72283a73509d0e01cd5,570eb72283a73509d0e01cd5,taipei_city,en,taiwanese,15,female,False,3,2,4,3,3,3,2,4,3,3,3,3,False,4,3,3,3,3,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb74b83a73509d0e02a20,570eb74b83a73509d0e02a20,taipei_city,en,taiwanese,39,male,False,4,4,4,4,4,4,4,4,3,4,3,3,False,3,3,2,3,3,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,1,0,0,0
570eb79f83a73509d0e0455c,570eb79f83a73509d0e0455c,taipei_city,en,taiwanese,22,female,False,4,1,5,4,3,3,2,5,3,2,1,4,False,2,1,2,4,2,3,-1,,,,,,,,slayer_taiwan,0,0,0,0,1,1,0,0
570eb74283a73509d0e02734,570eb74283a73509d0e02734,taipei_city,en,taiwanese,9,female,False,3,3,3,1,3,5,5,3,1,3,1,1,False,3,1,5,2,1,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb73a83a73509d0e02488,570eb73a83a73509d0e02488,taipei_city,en,taiwanese,12,female,False,5,3,4,4,4,4,3,3,3,3,3,3,False,3,4,4,4,3,4,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb77a83a73509d0e039ff,570eb77a83a73509d0e039ff,taichung_city,zh_TW,taiwanese,43,male,False,2,2,2,4,2,4,2,2,4,4,2,4,False,2,1,2,2,2,2,-1,,,,,,,,slayer_taiwan,0,0,0,1,0,0,0,1
570eb7ad83a73509d0e04953,570eb7ad83a73509d0e04953,taichung_city,zh_TW,taiwanese,20,male,False,4,5,2,3,4,4,3,3,1,3,1,3,False,3,1,3,3,3,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb73083a73509d0e0211e,570eb73083a73509d0e0211e,taichung_city,zh_TW,taiwanese,27,male,False,4,4,3,4,3,4,3,5,5,3,3,5,False,3,1,3,2,2,1,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,1,0,0
570eb78883a73509d0e03e3a,570eb78883a73509d0e03e3a,taichung_city,zh_TW,taiwanese,52,male,False,3,3,4,2,2,4,4,4,3,3,2,4,False,4,3,3,4,4,4,-1,,,,,,,,slayer_taiwan,0,0,0,0,0,0,0,1
570eb7b483a73509d0e04ba4,570eb7b483a73509d0e04ba4,taichung_city,en,taiwanese,20,male,False,3,4,3,4,2,4,3,4,4,4,1,3,False,3,4,3,4,3,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,1
570eb76583a73509d0e032ba,570eb76583a73509d0e032ba,taichung_city,en,taiwanese,11,female,False,3,4,5,4,3,4,2,4,2,3,3,4,False,3,5,5,4,2,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb7b583a73509d0e04bea,570eb7b583a73509d0e04bea,taichung_city,en,taiwanese,19,female,False,4,2,2,2,4,4,2,4,4,3,2,4,False,4,2,4,2,4,2,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb79e83a73509d0e044e7,570eb79e83a73509d0e044e7,taichung_city,en,taiwanese,16,male,False,4,1,5,4,2,4,4,4,4,3,4,4,False,4,5,5,4,2,4,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,1
570eb79c83a73509d0e04447,570eb79c83a73509d0e04447,taichung_city,en,taiwanese,20,female,False,3,3,3,3,3,3,3,3,3,3,3,5,False,1,2,1,5,5,2,-1,,,,,,,,slayer_taiwan,0,1,0,1,0,0,1,0
570eb75083a73509d0e02bf7,570eb75083a73509d0e02bf7,taipei_city,en,taiwanese,35,female,False,4,2,4,2,4,3,3,3,3,4,2,4,True,1,2,3,1,1,2,-1,4,4,3,5,4,2,1,slayer_taiwan,0,0,0,0,0,0,0,1
570eb79c83a73509d0e04482,570eb79c83a73509d0e04482,taipei_city,zh_TW,taiwanese,32,male,False,4,1,4,2,4,2,4,2,2,4,2,3,True,3,1,3,3,3,2,-1,3,4,3,4,4,3,1,slayer_taiwan,0,1,0,1,0,0,0,0
570eb75883a73509d0e02ea2,570eb75883a73509d0e02ea2,taipei_city,en,canadian,18,male,False,3,4,3,4,1,2,5,1,5,4,1,1,True,5,1,1,1,1,3,-1,3,3,3,3,3,3,3,slayer_taiwan,0,1,0,0,0,0,0,0
570eb77083a73509d0e03696,570eb77083a73509d0e03696,taipei_city,zh_TW,taiwanese,10,male,False,5,4,5,1,4,5,3,5,5,1,1,4,True,1,3,5,2,3,5,-1,4,3,2,4,5,3,4,slayer_taiwan,0,1,0,1,1,0,0,1
570eb78283a73509d0e03c7c,570eb78283a73509d0e03c7c,taipei_city,en,taiwanese,46,male,False,4,2,3,3,3,3,4,4,4,3,1,5,True,1,1,3,2,1,1,-1,3,3,3,4,4,3,1,slayer_taiwan,0,0,0,1,0,0,0,0
570eb7b583a73509d0e04bc2,570eb7b583a73509d0e04bc2,taipei_city,en,taiwanese,15,male,False,5,4,3,4,2,5,5,3,3,2,4,5,True,2,3,4,3,3,3,-1,4,5,4,5,5,4,3,slayer_taiwan,0,1,0,1,1,0,0,0
